family,trial_number,objective_value,params,runtime_seconds,inner_pr_auc,inner_roc_auc,precision_top1pct,recall_top1pct,fdr_top1pct,lift_top1pct,fp_per_tp_top1pct,threshold_fpr5,fpr_at_fpr5,fdr_at_fpr5,recall_at_fpr5,precision_at_fpr5,guardrail_feasible,inner_housing_status_fpr_gap,inner_housing_status_alert_rate_gap,inner_customer_age_group_fpr_gap,inner_customer_age_group_alert_rate_gap,inner_income_group_fpr_gap,inner_income_group_alert_rate_gap,inner_employment_status_fpr_gap,inner_employment_status_alert_rate_gap,inner_max_fpr_gap,inner_max_alert_rate_gap,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,param_scale_pos_weight,param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,param_min_child_weight,param_gamma,param_reg_lambda,param_num_leaves,param_min_child_samples,param_C,param_class_weight
CatBoost,0,0.5015681110955226,"{'iterations': 200, 'depth': 7, 'learning_rate': 0.08310681548584713, 'l2_leaf_reg': 9.18390181036444, 'random_strength': 0.3900466011060913, 'bagging_temperature': 0.3899863008405066, 'scale_pos_weight': 65.3129433758494}",85.62891268730164,0.19341987401248384,0.8950949149262849,0.2914572864321608,0.24663359319631467,0.7085427135678393,24.647454138160683,2.4310344827586206,0.6391017650696802,0.049698079924011124,0.884394808330818,0.5428773919206237,0.11560519166918201,False,0.2047398382620918,0.22608938440651088,0.15104652774923064,0.16919234507574876,0.045359842982831675,0.05062475343143448,0.08517154703595381,0.09831652186656409,0.2047398382620918,0.22608938440651088,200.0,7.0,0.08310681548584713,9.18390181036444,0.3900466011060913,0.3899863008405066,65.3129433758494,,,,,,,,,,,
CatBoost,1,0.5021842872253087,"{'iterations': 360, 'depth': 6, 'learning_rate': 0.07932694757052001, 'l2_leaf_reg': 2.2470139315496294, 'random_strength': 2.4247746304049858, 'bagging_temperature': 2.0811066020010545, 'scale_pos_weight': 80.62236675809741}",139.77645707130432,0.1894943619510246,0.895628893130261,0.2864321608040201,0.24238128986534374,0.7135678391959799,24.22249803233033,2.491228070175439,0.6820882604380212,0.04990162154827329,0.884413046745829,0.5450035435861091,0.11558695325417105,False,0.2043626627677225,0.22592436277331787,0.15072351802861875,0.16854201489359008,0.04561312735587858,0.05075495742021244,0.08617439313583941,0.09875056662112061,0.2043626627677225,0.22592436277331787,360.0,6.0,0.07932694757052001,2.2470139315496294,2.4247746304049858,2.0811066020010545,80.62236675809741,,,,,,,,,,,
CatBoost,2,0.4876465863749176,"{'iterations': 160, 'depth': 4, 'learning_rate': 0.03615301479333858, 'l2_leaf_reg': 8.297077179586854, 'random_strength': 1.0798625466052894, 'bagging_temperature': 0.7280728504951048, 'scale_pos_weight': 120.27298359867395}",36.58962035179138,0.16444727723022917,0.8791778084428564,0.24874371859296482,0.21048901488306165,0.7512562814070352,21.03532723860265,3.0202020202020203,0.7483976446155998,0.04960479001289097,0.8918877706617871,0.5024805102763997,0.10811222933821286,True,0.1631095966061574,0.18156915129365045,0.14873591958990157,0.16680012606072164,0.04721451161824922,0.05217702268296437,0.08065940777805185,0.09441780319223976,0.1631095966061574,0.18156915129365045,160.0,4.0,0.03615301479333858,8.297077179586854,1.0798625466052894,0.7280728504951048,120.27298359867395,,,,,,,,,,,
CatBoost,3,0.4880962345438051,"{'iterations': 160, 'depth': 5, 'learning_rate': 0.0407982628233995, 'l2_leaf_reg': 7.472839810604431, 'random_strength': 1.962939903482534, 'bagging_temperature': 0.49918445539589934, 'scale_pos_weight': 110.58462699558807}",38.84925365447998,0.16569863423900727,0.8801305003301241,0.25041876046901174,0.21190644932671865,0.7495812395309882,21.17697927387944,2.9933110367892977,0.7315447407178695,0.04987617884524052,0.892412746585736,0.5024805102763997,0.10758725341426403,True,0.16310749387883397,0.18141828212395486,0.1535149289305846,0.17192928360444384,0.048367855995296395,0.053433464705463216,0.07924697839952077,0.09359203936069559,0.16310749387883397,0.18141828212395486,160.0,5.0,0.0407982628233995,7.472839810604431,1.962939903482534,0.49918445539589934,110.58462699558807,,,,,,,,,,,
CatBoost,4,0.49749587714244875,"{'iterations': 280, 'depth': 4, 'learning_rate': 0.0652326406334676, 'l2_leaf_reg': 4.046289484247499, 'random_strength': 0.1626289824631988, 'bagging_temperature': 2.3722138431333333, 'scale_pos_weight': 155.38456577988617}",84.36698174476624,0.19287605355897144,0.8956452358445408,0.29229480737018426,0.24734231041814317,0.7077051926298157,24.71828015579908,2.4212034383954153,0.808870817932184,0.049596309111880045,0.8849878934624698,0.5386250885896527,0.11501210653753027,False,0.20688479948971503,0.22820146878470704,0.15146929432049805,0.16998381170968616,0.04476217637341921,0.050052505034744246,0.0847552133217067,0.09739623975310233,0.20688479948971503,0.22820146878470704,280.0,4.0,0.0652326406334676,4.046289484247499,0.1626289824631988,2.3722138431333333,155.38456577988617,,,,,,,,,,,
CatBoost,5,0.48694774865832197,"{'iterations': 360, 'depth': 5, 'learning_rate': 0.024186471102292394, 'l2_leaf_reg': 10.210796318145883, 'random_strength': 1.1003812343490034, 'bagging_temperature': 0.30509558711194706, 'scale_pos_weight': 108.69322103458332}",166.87860560417175,0.1841506174625242,0.8915314278509854,0.27889447236180903,0.23600283486888732,0.721105527638191,23.58506387358479,2.5855855855855854,0.737557487040209,0.04981681253816406,0.8866415094339622,0.5322466335931963,0.11335849056603774,False,0.2074767042315476,0.22833969389206324,0.1486412437766866,0.1670577980412858,0.047878593821350623,0.05325527018024362,0.07996375413166366,0.092948273615756,0.2074767042315476,0.22833969389206324,360.0,5.0,0.024186471102292394,10.210796318145883,1.1003812343490034,0.30509558711194706,108.69322103458332,,,,,,,,,,,
CatBoost,6,0.49555669507318073,"{'iterations': 120, 'depth': 7, 'learning_rate': 0.03309210936241962, 'l2_leaf_reg': 9.950267412247783, 'random_strength': 0.7792776902235274, 'bagging_temperature': 1.300170052944527, 'scale_pos_weight': 113.80776265875114}",59.95676112174988,0.1668370860435403,0.8819562862505924,0.25125628140703515,0.21261516654854712,0.7487437185929648,21.247805291517828,2.98,0.7359260503676881,0.04996946875636068,0.891241869611254,0.5095676824946846,0.10875813038874603,True,0.16498257205528172,0.18366455421802683,0.15812364053524006,0.17595521361498961,0.04847965589489138,0.05364475936179934,0.08065940777805185,0.09441780319223976,0.16498257205528172,0.18366455421802683,120.0,7.0,0.03309210936241962,9.950267412247783,0.7792776902235274,1.300170052944527,113.80776265875114,,,,,,,,,,,
CatBoost,7,0.5190685632189389,"{'iterations': 160, 'depth': 7, 'learning_rate': 0.09038434714892372, 'l2_leaf_reg': 13.273987298770269, 'random_strength': 2.237068376069122, 'bagging_temperature': 1.4947499470277128, 'scale_pos_weight': 151.04172767612366}",69.22361707687378,0.1739400950242203,0.8859843956710691,0.26716917922948075,0.22608079376328843,0.7328308207705192,22.593499626647294,2.74294670846395,0.7948845760458763,0.04990162154827329,0.887615024890632,0.5279943302622254,0.11238497510936793,True,0.15906433940392337,0.1776869560014189,0.14987925514544406,0.16833117787060886,0.05013328912521274,0.05536493419853976,0.07403155074183317,0.08689267218443203,0.15906433940392337,0.1776869560014189,160.0,7.0,0.09038434714892372,13.273987298770269,2.237068376069122,1.4947499470277128,151.04172767612366,,,,,,,,,,,
CatBoost,8,0.4687488892563971,"{'iterations': 120, 'depth': 4, 'learning_rate': 0.02183994241198303, 'l2_leaf_reg': 5.903963969159172, 'random_strength': 0.9716932242237051, 'bagging_temperature': 0.6783725794347397, 'scale_pos_weight': 141.7981701850094}",44.32592535018921,0.1441890671971034,0.8674060113011041,0.2269681742043551,0.1920623671155209,0.7730318257956449,19.19385078000444,3.4059040590405902,0.7457368711653966,0.04986769794422959,0.8947048082775411,0.49043231750531535,0.10529519172245892,True,0.17015719588154393,0.1881938890367422,0.14093823781961706,0.15918444800777654,0.04198090310655428,0.04692625360842109,0.08799288206067868,0.10176598314547265,0.17015719588154393,0.1881938890367422,120.0,4.0,0.02183994241198303,5.903963969159172,0.9716932242237051,0.6783725794347397,141.7981701850094,,,,,,,,,,,
CatBoost,9,0.5078636933038361,"{'iterations': 200, 'depth': 5, 'learning_rate': 0.05749914566104805, 'l2_leaf_reg': 3.6910906996971518, 'random_strength': 2.0054924518850994, 'bagging_temperature': 0.18637660919942706, 'scale_pos_weight': 157.49405503745365}",99.31869888305664,0.17983269653388237,0.8892616297976474,0.2721943048576214,0.2303330970942594,0.7278056951423786,23.018455732477648,2.6738461538461538,0.7962505529012213,0.04967263722097836,0.8858136721113128,0.5350815024805102,0.11418632788868724,False,0.19904246202676795,0.22000662257303327,0.15045219318257547,0.16900216620569983,0.047594602803572875,0.05300399158251748,0.07883246054171848,0.09240325094086539,0.19904246202676795,0.22000662257303327,200.0,5.0,0.05749914566104805,3.6910906996971518,2.0054924518850994,0.18637660919942706,157.49405503745365,,,,,,,,,,,
