model,stage,model_family,validation_pr_auc,validation_roc_auc,test_pr_auc,test_roc_auc,validation_precision_top0_5pct,validation_fdr_top0_5pct,validation_recall_top0_5pct,validation_lift_top0_5pct,validation_fp_per_tp_top0_5pct,validation_captured_frauds_top0_5pct,validation_precision_top1pct,validation_fdr_top1pct,validation_recall_top1pct,validation_lift_top1pct,validation_fp_per_tp_top1pct,validation_captured_frauds_top1pct,validation_precision_top5pct,validation_fdr_top5pct,validation_recall_top5pct,validation_lift_top5pct,validation_fp_per_tp_top5pct,validation_captured_frauds_top5pct,test_precision_top0_5pct,test_fdr_top0_5pct,test_recall_top0_5pct,test_lift_top0_5pct,test_fp_per_tp_top0_5pct,test_captured_frauds_top0_5pct,test_precision_top1pct,test_fdr_top1pct,test_recall_top1pct,test_lift_top1pct,test_fp_per_tp_top1pct,test_captured_frauds_top1pct,test_precision_top5pct,test_fdr_top5pct,test_recall_top5pct,test_lift_top5pct,test_fp_per_tp_top5pct,test_captured_frauds_top5pct,threshold_selection_split,fpr_cap,selected_threshold,validation_threshold_threshold,validation_threshold_alerts,validation_threshold_alert_count,validation_threshold_tp,validation_threshold_fp,validation_threshold_fn,validation_threshold_tn,validation_threshold_precision,validation_threshold_fdr,validation_threshold_recall_tpr,validation_threshold_fpr,validation_threshold_fnr,validation_threshold_tnr,validation_threshold_specificity_tnr,validation_threshold_alert_rate,validation_threshold_fraud_prevalence,validation_threshold_lift,validation_threshold_precision_lift,validation_threshold_fp_per_tp,validation_threshold_pr_auc,validation_threshold_roc_auc,validation_threshold_pr_auc_lift,validation_threshold_n_obs,test_threshold_threshold,test_threshold_alerts,test_threshold_alert_count,test_threshold_tp,test_threshold_fp,test_threshold_fn,test_threshold_tn,test_threshold_precision,test_threshold_fdr,test_threshold_recall_tpr,test_threshold_fpr,test_threshold_fnr,test_threshold_tnr,test_threshold_specificity_tnr,test_threshold_alert_rate,test_threshold_fraud_prevalence,test_threshold_lift,test_threshold_precision_lift,test_threshold_fp_per_tp,test_threshold_pr_auc,test_threshold_roc_auc,test_threshold_pr_auc_lift,test_threshold_n_obs,test_fprcap_0.05_housing_status_fpr_gap,test_fprcap_0.05_housing_status_alert_rate_gap,test_fprcap_0.05_customer_age_group_fpr_gap,test_fprcap_0.05_customer_age_group_alert_rate_gap,test_fprcap_0.05_income_group_fpr_gap,test_fprcap_0.05_income_group_alert_rate_gap,test_fprcap_0.05_employment_status_fpr_gap,test_fprcap_0.05_employment_status_alert_rate_gap,test_fprcap_0.05_max_fpr_gap,test_fprcap_0.05_max_alert_rate_gap
baseline | CatBoost,baseline_search,CatBoost,0.1802422480866976,0.8914777069569751,0.21770910131858748,0.8966794546776421,0.3567467652495379,0.643253234750462,0.13310344827586207,26.612816623111733,1.8031088082901554,193,0.2754158964879852,0.7245841035120149,0.20551724137931035,20.545645994008538,2.6308724832214767,298,0.13385098909225365,0.8661490109077463,0.4993103448275862,9.985099164228203,6.470994475138122,724,0.40824742268041236,0.5917525773195876,0.13865546218487396,27.686208091484016,1.4494949494949494,198,0.31991744066047473,0.6800825593395252,0.21708683473389356,21.695913659581482,2.1258064516129034,310,0.15981829444559156,0.8401817055544084,0.542016806722689,10.838433535710381,5.257105943152455,774,validation,0.05,0.7874011234264661,0.7874011234264661,6083,6083,761,5322,689,101396,0.1251027453559099,0.8748972546440901,0.5248275862068965,0.04986975018272456,0.47517241379310343,0.9501302498172755,0.9501302498172755,0.05623659492641077,0.013405073589231566,9.332492248040042,9.332492248040042,6.993429697766097,0.1802422480866976,0.8914777069569751,13.445823097270278,108168,0.7874011234264661,4695,4695,763,3932,665,91483,0.16251331203407882,0.8374866879659212,0.5343137254901961,0.041209453440234765,0.46568627450980393,0.9587905465597653,0.9587905465597653,0.04848053034292618,0.014745515938167962,11.0212021549834,11.0212021549834,5.153342070773263,0.21770910131858748,0.8966794546776421,14.764427520305299,96843,0.16775146310780506,0.1916901261599416,0.1373865388012496,0.16865690665520683,0.0407408906149128,0.047158287946666266,0.07031606610243739,0.09000142773988776,0.16775146310780506,0.1916901261599416
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,0.1768102684908024,0.884682130345461,0.2085167977397625,0.8906960027631028,0.34935304990757854,0.6506469500924215,0.13034482758620689,26.061255656829623,1.8624338624338623,189,0.266173752310536,0.7338262476894639,0.1986206896551724,19.856194786155903,2.7569444444444446,288,0.13163246441116658,0.8683675355888334,0.4910344827586207,9.819600283053148,6.59691011235955,712,0.3917525773195876,0.6082474226804124,0.1330532212885154,26.567573421121025,1.5526315789473684,190,0.31475748194014447,0.6852425180598556,0.21358543417366946,21.345979568297906,2.177049180327869,305,0.15506917200082593,0.8449308279991741,0.5259103641456583,10.516361221341727,5.448735019973369,751,validation,0.05,0.7830256588352915,0.7830256588352915,6070,6070,743,5327,707,101391,0.12240527182866556,0.8775947281713344,0.5124137931034483,0.04991660263498191,0.48758620689655174,0.9500833973650181,0.9500833973650181,0.05611641150802455,0.013405073589231566,9.131264443560756,9.131264443560756,7.169582772543742,0.1768102684908024,0.884682130345461,13.189802153181457,108168,0.7830256588352915,4596,4596,734,3862,694,91553,0.15970409051349,0.84029590948651,0.5140056022408963,0.04047581617146151,0.48599439775910364,0.9595241838285384,0.9595241838285384,0.047458257179145626,0.014745515938167962,10.830688541735233,10.830688541735233,5.26158038147139,0.2085167977397625,0.8906960027631028,14.141030982851415,96843,0.14275556527922115,0.1656761547283912,0.1365035922825816,0.1662894077380122,0.041438951167983545,0.04780414637834515,0.0716662343266524,0.09003819023757151,0.14275556527922115,0.1662894077380122
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,0.1821581073934377,0.8932808251977012,0.2158883374343947,0.8951811422048251,0.35304990757855825,0.6469500924214417,0.1317241379310345,26.33703613997068,1.8324607329842932,191,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,289,0.13514512848955446,0.8648548715104456,0.5041379310344828,10.081640178246984,6.399452804377565,731,0.3979381443298969,0.6020618556701032,0.13515406162464985,26.987061422507146,1.5129533678756477,193,0.3188854489164087,0.6811145510835913,0.21638655462184875,21.625926841324766,2.1359223300970873,309,0.1608507123683667,0.8391492876316333,0.5455182072829131,10.908449256225307,5.2169448010269575,779,validation,0.05,0.8851956725120544,0.8851956725120544,6048,6048,755,5293,695,101425,0.12483465608465609,0.875165343915344,0.5206896551724138,0.04959800595963193,0.4793103448275862,0.9504019940403681,0.9504019940403681,0.05591302418460173,0.013405073589231566,9.312493158182813,9.312493158182813,7.010596026490067,0.1821581073934377,0.8932808251977012,13.588743558988531,108168,0.8851956725120544,5056,5056,790,4266,638,91149,0.15625,0.84375,0.5532212885154062,0.04470995126552429,0.44677871148459386,0.9552900487344758,0.9552900487344758,0.05220821329368153,0.014745515938167962,10.596441701680673,10.596441701680673,5.4,0.2158883374343947,0.8951811422048251,14.640948362856504,96843,0.1771044139364437,0.20164737774997393,0.14755182735748837,0.1780483437667971,0.03622165366570614,0.04242188925878578,0.11193865555133777,0.1315545857692353,0.1771044139364437,0.20164737774997393
hyperparameter_tuned | LightGBM,hyperparameter-tuning-gate,LightGBM,0.16624358225414038,0.8801193735859444,0.19285128399334023,0.875402799593872,0.3234750462107209,0.6765249537892791,0.1206896551724138,24.130792274842243,2.0914285714285716,175,0.26709796672828096,0.7329020332717191,0.1993103448275862,19.92513990694117,2.7439446366782008,289,0.12830467738953596,0.871695322610464,0.4786206896551724,9.571351961290569,6.793948126801153,694,0.3731958762886598,0.6268041237113402,0.12675070028011204,25.309109416962663,1.6795580110497237,181,0.3013415892672859,0.6986584107327141,0.20448179271708683,20.436150930960622,2.3184931506849313,292,0.14763576295684494,0.852364237043155,0.5007002801120448,10.012248033634268,5.7734265734265735,715,validation,0.05,0.9111625673693503,0.9111625673693503,6058,6058,732,5326,718,101392,0.12083195774182899,0.879168042258171,0.5048275862068966,0.049907232144530446,0.49517241379310345,0.9500927678554696,0.9500927678554696,0.05600547296797574,0.013405073589231566,9.013897382771143,9.013897382771143,7.275956284153006,0.16624358225414038,0.8801193735859444,12.401541934666108,108168,0.9111625673693503,4739,4739,712,4027,716,91388,0.1502426672293733,0.8497573327706267,0.49859943977591037,0.04220510401928418,0.5014005602240896,0.9577948959807158,0.9577948959807158,0.04893487397127309,0.014745515938167962,10.189041052166806,10.189041052166806,5.655898876404494,0.19285128399334023,0.875402799593872,13.078639282750034,96843,0.16036755455887983,0.18261912209362943,0.13117324505683042,0.15552521092532698,0.037939152029540915,0.04361862459661389,0.10002876621658914,0.1165526305192214,0.16036755455887983,0.18261912209362943
hyperparameter_tuned | Logistic Regression,hyperparameter-tuning-gate,Logistic Regression,0.15196597357729993,0.8764678550171867,0.18388413746274201,0.879595768507057,0.32162661737523107,0.6783733826247689,0.12,23.99290203327172,2.1091954022988504,174,0.2513863216266174,0.7486136783733826,0.18758620689655173,18.75307285359169,2.9779411764705883,272,0.12553152153817712,0.8744684784618229,0.46827586206896554,9.364478359821753,6.9661266568483065,679,0.3402061855670103,0.6597938144329897,0.11554621848739496,23.071840076236683,1.9393939393939394,165,0.2837977296181631,0.7162022703818369,0.19257703081232494,19.246375020596474,2.5236363636363635,275,0.14288664051207928,0.8571133594879208,0.484593837535014,9.690175719265612,5.9985549132947975,692,validation,0.05,0.03697546648595902,0.03697546648595902,6054,6054,722,5332,728,101386,0.11925999339279815,0.8807400066072019,0.4979310344827586,0.04996345508723927,0.5020689655172413,0.9500365449127607,0.9500365449127607,0.055968493454626136,0.013405073589231566,8.896631010560132,8.896631010560132,7.3850415512465375,0.15196597357729993,0.8764678550171867,11.336452020627158,108168,0.03697546648595902,4275,4275,654,3621,774,91794,0.1529824561403509,0.8470175438596491,0.4579831932773109,0.03795000786039931,0.542016806722689,0.9620499921396007,0.9620499921396007,0.04414361389052384,0.014745515938167962,10.374845938375351,10.374845938375351,5.536697247706422,0.18388413746274201,0.879595768507057,12.470512271921796,96843,0.16381337854837827,0.18522573245751225,0.11362217995532939,0.1417090936326331,0.040591589612145165,0.04658833863528853,0.10861596278840525,0.12909138517936633,0.16381337854837827,0.18522573245751225
