precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp,threshold
0.016188995538731918,0.9910344827586207,0.8182968196555408,0.1625951166991666,0.8831052642122875,19391,87327,13,1437,0.05
0.0197699997215493,0.9793103448275862,0.659738750726213,0.1625951166991666,0.8831052642122875,36312,70406,30,1420,0.1
0.02335979101778358,0.9620689655172414,0.5465151146010983,0.1625951166991666,0.8831052642122875,48395,58323,55,1395,0.15000000000000002
0.027372009593086635,0.9524137931034483,0.4598287074345471,0.1625951166991666,0.8831052642122875,57646,49072,69,1381,0.2
0.03138648824458693,0.9317241379310345,0.3906838583931483,0.1625951166991666,0.8831052642122875,65025,41693,99,1351,0.25
0.03545617562353964,0.9,0.33266178151764464,0.1625951166991666,0.8831052642122875,71217,35501,145,1305,0.3
0.04025530839231547,0.8786206896551724,0.28461927697295675,0.1625951166991666,0.8831052642122875,76344,30374,176,1274,0.35000000000000003
0.045277899985335095,0.8517241379310345,0.24401694184673625,0.1625951166991666,0.8831052642122875,80677,26041,215,1235,0.4
0.05029787234042553,0.8151724137931035,0.2091306058959126,0.1625951166991666,0.8831052642122875,84400,22318,268,1182,0.45
0.056530214424951264,0.78,0.17687737776195206,0.1625951166991666,0.8831052642122875,87842,18876,319,1131,0.5
0.06354574581701673,0.7386206896551725,0.14789445079555463,0.1625951166991666,0.8831052642122875,90935,15783,379,1071,0.55
0.07218758855199774,0.7027586206896552,0.1227253134429056,0.1625951166991666,0.8831052642122875,93621,13097,431,1019,0.6000000000000001
0.0802732707087959,0.6482758620689655,0.10092018216233438,0.1625951166991666,0.8831052642122875,95948,10770,510,940,0.6500000000000001
0.09144855356575182,0.5951724137931035,0.08034258513090575,0.1625951166991666,0.8831052642122875,98144,8574,587,863,0.7000000000000001
0.1080860332153553,0.5475862068965517,0.061395453438032946,0.1625951166991666,0.8831052642122875,100166,6552,656,794,0.7500000000000001
0.13106256941873382,0.4882758620689655,0.04398508217920126,0.1625951166991666,0.8831052642122875,102024,4694,742,708,0.8
0.15608683704314372,0.3917241379310345,0.028776776176465076,0.1625951166991666,0.8831052642122875,103647,3071,882,568,0.8500000000000001
0.1979218208807521,0.27586206896551724,0.015189565021833242,0.1625951166991666,0.8831052642122875,105097,1621,1050,400,0.9000000000000001
0.30389221556886226,0.14,0.004357278059933657,0.1625951166991666,0.8831052642122875,106253,465,1247,203,0.9500000000000001
