mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_features__add_log_features,param_features__add_missing_flags,param_features__add_outlier_flags,param_model__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__ccp_alpha,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__max_features,param_model__n_estimators,param_model__colsample_bytree,param_model__gamma,param_model__learning_rate,param_model__min_child_weight,param_model__reg_lambda,param_model__scale_pos_weight,param_model__subsample,param_model__min_child_samples,param_model__num_leaves,param_weights
2.89436674118042,0.0,0.17475414276123047,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__max_depth': 12, 'model__max_features': 'log2', 'model__min_samples_leaf': 307, 'model__n_estimators': 73}",0.12275603967535008,0.12275603967535008,0.0,2,Random Forest,,12,307.0,,log2,73.0,,,,,,,,,,
2.927471876144409,0.0,0.16042089462280273,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 210, 'model__n_estimators': 61}",0.11827019724980352,0.11827019724980352,0.0,4,Random Forest,,10,210.0,,sqrt,61.0,,,,,,,,,,
3.542795181274414,0.0,0.1804049015045166,0.0,False,False,True,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 98, 'model__n_estimators': 76}",0.1222803101523206,0.1222803101523206,0.0,3,Random Forest,,16,98.0,,sqrt,76.0,,,,,,,,,,
2.418199062347412,0.0,0.15176105499267578,0.0,True,False,True,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 70, 'model__n_estimators': 88}",0.11363947335021822,0.11363947335021822,0.0,1,Extra Trees,,12,70.0,,sqrt,88.0,,,,,,,,,,
7.65778660774231,0.0,0.18513083457946777,0.0,False,True,True,,"{'features__add_log_features': False, 'features__add_missing_flags': True, 'features__add_outlier_flags': True, 'model__max_depth': 12, 'model__max_features': 0.5, 'model__min_samples_leaf': 137, 'model__n_estimators': 102}",0.1076842027931666,0.1076842027931666,0.0,3,Extra Trees,,12,137.0,,0.5,102.0,,,,,,,,,,
1.9273953437805176,0.0,0.15710210800170898,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__max_depth': 12, 'model__max_features': 'log2', 'model__min_samples_leaf': 307, 'model__n_estimators': 73}",0.1097717108089684,0.1097717108089684,0.0,2,Extra Trees,,12,307.0,,log2,73.0,,,,,,,,,,
1.9405529499053955,0.0,0.14931344985961914,0.0,False,False,False,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': False, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 210, 'model__n_estimators': 61}",0.10677992578589955,0.10677992578589955,0.0,5,Extra Trees,,10,210.0,,sqrt,61.0,,,,,,,,,,
2.2442893981933594,0.0,0.1576673984527588,0.0,False,False,True,,"{'features__add_log_features': False, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__max_depth': 16, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 98, 'model__n_estimators': 76}",0.10684406437040435,0.10684406437040435,0.0,4,Extra Trees,,16,98.0,,sqrt,76.0,,,,,,,,,,
35.628159523010254,0.0,0.30278730392456055,0.0,True,False,True,,"{'features__add_log_features': True, 'features__add_missing_flags': False, 'features__add_outlier_flags': True, 'model__colsample_bytree': np.float64(0.7550304369598491), 'model__gamma': np.float64(2.339073000818308), 'model__learning_rate': np.float64(0.05977505142360254), 'model__max_depth': 4, 'model__min_child_weight': 3, 'model__n_estimators': 146, 'model__reg_lambda': np.float64(0.5950295391592122), 'model__scale_pos_weight': np.float64(72.39952153110048), 'model__subsample': np.float64(0.8803345035229626)}",0.1660031235881788,0.1660031235881788,0.0,1,XGBoost,,4,,,,146.0,0.7550304369598491,2.339073000818308,0.05977505142360254,3.0,0.5950295391592122,72.39952153110048,0.8803345035229626,,,
14.33756971359253,0.0,0.2688469886779785,0.0,False,True,False,,"{'features__add_log_features': False, 'features__add_missing_flags': True, 'features__add_outlier_flags': False, 'model__colsample_bytree': np.float64(0.71692347370813), 'model__gamma': np.float64(2.165996316800474), 'model__learning_rate': np.float64(0.16637391143003455), 'model__max_depth': 4, 'model__min_child_weight': 5, 'model__n_estimators': 92, 'model__reg_lambda': np.float64(1.2439367209907215), 'model__scale_pos_weight': np.float64(96.53269537480064), 'model__subsample': np.float64(0.7021198915659151)}",0.1387020921537655,0.1387020921537655,0.0,4,XGBoost,,4,,,,92.0,0.71692347370813,2.165996316800474,0.16637391143003455,5.0,1.2439367209907215,96.53269537480064,0.7021198915659151,,,
41.052107095718384,0.0,0.1931312084197998,0.0,True,True,True,,"{'features__add_log_features': True, 'features__add_missing_flags': True, 'features__add_outlier_flags': True, 'model__colsample_bytree': np.float64(0.8835558684167137), 'model__gamma': np.float64(0.4184815819561255), 'model__learning_rate': np.float64(0.023993242906812727), 'model__max_depth': 6, 'model__min_child_weight': 3, 'model__n_estimators': 114, 'model__reg_lambda': np.float64(9.51005173310689), 'model__scale_pos_weight': np.float64(72.39952153110048), 'model__subsample': np.float64(0.7139351238159992)}",0.13298073722073692,0.13298073722073692,0.0,5,XGBoost,,6,,,,114.0,0.8835558684167137,0.4184815819561255,0.023993242906812727,3.0,9.51005173310689,72.39952153110048,0.7139351238159992,,,
14.620650053024292,0.0,0.23549222946166992,0.0,True,True,True,,"{'features__add_log_features': True, 'features__add_missing_flags': True, 'features__add_outlier_flags': True, 'model__colsample_bytree': np.float64(0.8351497755908628), 'model__gamma': np.float64(0.039794883479599585), 'model__learning_rate': np.float64(0.16820261606177922), 'model__max_depth': 4, 'model__min_child_weight': 2, 'model__n_estimators': 68, 'model__reg_lambda': np.float64(0.5244964793840513), 'model__scale_pos_weight': np.float64(96.53269537480064), 'model__subsample': np.float64(0.905269907953647)}",0.1539097780088337,0.1539097780088337,0.0,3,XGBoost,,4,,,,68.0,0.8351497755908628,0.039794883479599585,0.16820261606177922,2.0,0.5244964793840513,96.53269537480064,0.905269907953647,,,
