housing_status,n_with_housing,fraud_count_with_housing,legitimate_count_with_housing,fraud_rate_with_housing,alert_count_with_housing,alert_rate_with_housing,precision_with_housing,recall_tpr_with_housing,fpr_with_housing,fnr_with_housing,tn_with_housing,fp_with_housing,fn_with_housing,tp_with_housing,small_group_warning_with_housing,model_with_housing,model_family,feature_policy_with_housing,split,threshold_policy,threshold_with_housing,n_without_housing,fraud_count_without_housing,legitimate_count_without_housing,fraud_rate_without_housing,alert_count_without_housing,alert_rate_without_housing,precision_without_housing,recall_tpr_without_housing,fpr_without_housing,fnr_without_housing,tn_without_housing,fp_without_housing,fn_without_housing,tp_without_housing,small_group_warning_without_housing,model_without_housing,feature_policy_without_housing,threshold_without_housing,alert_rate_delta_with_minus_without,precision_delta_with_minus_without,recall_tpr_delta_with_minus_without,fpr_delta_with_minus_without,fnr_delta_with_minus_without
BF,176,0,176,0.0,4,0.022727272727272728,0.0,,0.022727272727272728,,172,4,0,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,176,0,176,0.0,5,0.028409090909090908,0.0,,0.028409090909090908,,171,5,0,0,True,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.00568181818181818,0.0,,-0.00568181818181818,
BG,24,0,24,0.0,1,0.041666666666666664,0.0,,0.041666666666666664,,23,1,0,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,validation,valid_global_5pct_fpr,0.31131017208099365,24,0,24,0.0,2,0.08333333333333333,0.0,,0.08333333333333333,,22,2,0,0,True,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.041666666666666664,0.0,,-0.041666666666666664,
BC,37502,266,37236,0.007092955042397739,4,0.000106660978081169,0.75,0.011278195488721804,2.6855731012998174e-05,0.9887218045112782,37235,1,263,3,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,37502,266,37236,0.007092955042397739,25,0.0006666311130073063,0.44,0.041353383458646614,0.0003759802341819744,0.9586466165413534,37222,14,255,11,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.0005599701349261373,0.31,-0.03007518796992481,-0.00034912450316897624,0.03007518796992481
BB,23213,166,23047,0.007151165295308663,3,0.00012923792702365053,0.6666666666666666,0.012048192771084338,4.3389595175077016e-05,0.9879518072289156,23046,1,164,2,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,23213,166,23047,0.007151165295308663,34,0.0014646965062680396,0.35294117647058826,0.07228915662650602,0.0009545710938516944,0.927710843373494,23025,22,154,12,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.001335458579244389,0.31372549019607837,-0.060240963855421686,-0.0009111814986766174,0.06024096385542166
BA,19182,899,18283,0.04686685434261287,345,0.017985611510791366,0.42318840579710143,0.16240266963292546,0.0108844281573046,0.8375973303670745,18084,199,753,146,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,19182,899,18283,0.04686685434261287,182,0.009488061724533417,0.45054945054945056,0.09121245828698554,0.005469561888092764,0.9087875417130145,18183,100,817,82,False,XGBoost focal | without_housing_status,without_housing_status,0.5,0.00849754978625795,-0.02736104475234913,0.07119021134593992,0.005414866269211836,-0.07119021134593995
BE,12327,54,12273,0.004380627889997567,0,0.0,,0.0,0.0,1.0,12273,0,54,0,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,12327,54,12273,0.004380627889997567,5,0.0004056136935182932,0.2,0.018518518518518517,0.00032591868328851953,0.9814814814814815,12269,4,53,1,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.0004056136935182932,,-0.018518518518518517,-0.00032591868328851953,0.01851851851851849
BD,4478,42,4436,0.009379187137114784,0,0.0,,0.0,0.0,1.0,4436,0,42,0,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,4478,42,4436,0.009379187137114784,1,0.00022331397945511388,0.0,0.0,0.0002254283137962128,1.0,4435,1,42,0,False,XGBoost focal | without_housing_status,without_housing_status,0.5,-0.00022331397945511388,,0.0,-0.0002254283137962128,0.0
BF,135,1,134,0.007407407407407408,0,0.0,,0.0,0.0,1.0,134,0,1,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,135,1,134,0.007407407407407408,0,0.0,,0.0,0.0,1.0,134,0,1,0,True,XGBoost focal | without_housing_status,without_housing_status,0.5,0.0,,0.0,0.0,0.0
BG,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,default_0_50,0.5,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,XGBoost focal | without_housing_status,without_housing_status,0.5,0.0,,,0.0,
BC,37502,266,37236,0.007092955042397739,313,0.008346221534851475,0.1853035143769968,0.21804511278195488,0.006848211408314534,0.7819548872180451,36981,255,208,58,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,37502,266,37236,0.007092955042397739,743,0.019812276678577143,0.11843876177658143,0.3308270676691729,0.017590503813513805,0.6691729323308271,36581,655,178,88,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.011466055143725668,0.06686475260041537,-0.11278195488721804,-0.01074229240519927,0.11278195488721798
BB,23213,166,23047,0.007151165295308663,248,0.010683668633955111,0.17338709677419356,0.25903614457831325,0.008894867010890789,0.7409638554216867,22842,205,123,43,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,23213,166,23047,0.007151165295308663,730,0.03144789557575497,0.0863013698630137,0.3795180722891566,0.02894085998177637,0.6204819277108434,22380,667,103,63,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.020764226941799857,0.08708572691117986,-0.12048192771084337,-0.020045992970885582,0.12048192771084332
BA,19182,899,18283,0.04686685434261287,4049,0.2110833072672297,0.15682884662879723,0.7063403781979978,0.18673084285948696,0.2936596218020022,14869,3414,264,635,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,19182,899,18283,0.04686685434261287,2499,0.13027838598686267,0.19727891156462585,0.5483870967741935,0.10971941147514085,0.45161290322580644,16277,2006,406,493,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,0.08080492128036704,-0.04045006493582862,0.15795328142380427,0.07701143138434612,-0.15795328142380421
BE,12327,54,12273,0.004380627889997567,39,0.003163786809442687,0.10256410256410256,0.07407407407407407,0.0028517884787745457,0.9259259259259259,12238,35,50,4,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,12327,54,12273,0.004380627889997567,215,0.017441388821286607,0.05116279069767442,0.2037037037037037,0.016621852847714495,0.7962962962962963,12069,204,43,11,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.01427760201184392,0.05140131186642814,-0.12962962962962962,-0.01377006436893995,0.12962962962962965
BD,4478,42,4436,0.009379187137114784,100,0.022331397945511387,0.15,0.35714285714285715,0.01916140667267809,0.6428571428571429,4351,85,27,15,False,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,4478,42,4436,0.009379187137114784,148,0.03305046895935686,0.11486486486486487,0.40476190476190477,0.029531109107303877,0.5952380952380952,4305,131,25,17,False,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.01071907101384547,0.03513513513513512,-0.047619047619047616,-0.010369702434625788,0.04761904761904767
BF,135,1,134,0.007407407407407408,0,0.0,,0.0,0.0,1.0,134,0,1,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,135,1,134,0.007407407407407408,1,0.007407407407407408,0.0,0.0,0.007462686567164179,1.0,133,1,1,0,True,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,-0.007407407407407408,,0.0,-0.007462686567164179,0.0
BG,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,XGBoost focal | with_housing_status,XGBoost focal,with_housing_status,test,valid_global_5pct_fpr,0.31131017208099365,6,0,6,0.0,0,0.0,,,0.0,,6,0,0,0,True,XGBoost focal | without_housing_status,without_housing_status,0.30946120619773865,0.0,,,0.0,
