model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
advanced_gate | CatBoost,advanced_gate,CatBoost,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,0.7883990677182775,0.18213381342128812,0.8908670159382348,13.586931262175098,0.21842211314344634,0.8958681308293375,14.812782005007545,79.97004723548889
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8010172247886658,0.1771672128672742,0.8904671254114129,13.216429711329182,0.21211655703116133,0.8947012248278237,14.385156675468318,9.807311058044434
advanced_gate | LightGBM,advanced_gate,LightGBM,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8307763525608923,0.16534290393790405,0.8854995343835608,12.334352574589795,0.20772839734547338,0.8876539401590956,14.087563854431147,12.465087175369263
advanced_gate | Logistic Regression,advanced_gate,Logistic Regression,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8120249228561285,0.16229453105000458,0.8844870625838902,12.106948161804755,0.19533362410378746,0.8877064602500855,13.246984705240259,100.35410356521606
advanced_gate | Random Forest,advanced_gate,Random Forest,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.6338067206946842,0.15081675746983647,0.8758644212817409,11.250722084136049,0.1735993410436421,0.8751938641620248,11.77302589964246,53.32293200492859
advanced_gate | Decision Tree,advanced_gate,Decision Tree,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8320181487406233,0.09967206556957789,0.8143729590910236,7.435398612779379,0.115934669774673,0.8261237618770193,7.862367804613905,25.767069101333618
