model_id,readable_model_name,model_family,representation,feature_set,balance_policy,loss_type,train_strategy,ensemble_type,notes,selected_threshold_fpr5,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,validation_precision_at_fpr5,validation_fdr_at_fpr5,validation_recall_at_fpr5,validation_fpr_at_fpr5,validation_tp_at_fpr5,validation_fp_at_fpr5,validation_fn_at_fpr5,validation_tn_at_fpr5,validation_alert_rate_at_fpr5,validation_precision_top_0_5pct,validation_recall_top_0_5pct,validation_lift_top_0_5pct,validation_captured_frauds_top_0_5pct,validation_alerts_top_0_5pct,validation_precision_top_1pct,validation_recall_top_1pct,validation_lift_top_1pct,validation_captured_frauds_top_1pct,validation_alerts_top_1pct,validation_precision_top_2pct,validation_recall_top_2pct,validation_lift_top_2pct,validation_captured_frauds_top_2pct,validation_alerts_top_2pct,validation_precision_top_5pct,validation_recall_top_5pct,validation_lift_top_5pct,validation_captured_frauds_top_5pct,validation_alerts_top_5pct,test_pr_auc,test_roc_auc,test_pr_auc_lift,test_precision_at_fpr5,test_fdr_at_fpr5,test_recall_at_fpr5,test_fpr_at_fpr5,test_tp_at_fpr5,test_fp_at_fpr5,test_fn_at_fpr5,test_tn_at_fpr5,test_alert_rate_at_fpr5,test_precision_top_0_5pct,test_recall_top_0_5pct,test_lift_top_0_5pct,test_captured_frauds_top_0_5pct,test_alerts_top_0_5pct,test_precision_top_1pct,test_recall_top_1pct,test_lift_top_1pct,test_captured_frauds_top_1pct,test_alerts_top_1pct,test_precision_top_2pct,test_recall_top_2pct,test_lift_top_2pct,test_captured_frauds_top_2pct,test_alerts_top_2pct,test_precision_top_5pct,test_recall_top_5pct,test_lift_top_5pct,test_captured_frauds_top_5pct,test_alerts_top_5pct
temporalblend_rep_oof_scores_feat_mixed_balance_mixed_loss_mixed_train_temporal_oof_ensemble_temporal_logistic_meta_model,TemporalBlend | rep=oof_scores | feat=mixed | balance=mixed | loss=mixed | train=temporal_oof | ensemble=temporal_logistic_meta_model,TemporalBlend,oof_scores,mixed,mixed,mixed,temporal_oof,temporal_logistic_meta_model,"Logistic meta-model trained on OOF months 3-5. Base keys: ['catboost_no_balance', 'catboost_scale_pos_weight', 'xgboost_no_balance', 'lightgbm_no_balance', 'logistic_balanced'].",0.8190150033481693,0.17406278219942128,0.8861759416211983,12.98484346548069,0.12458636664460622,0.8754136333553938,0.5193103448275862,0.049579264978728985,753,5291,697,101427,0.05587604467125212,0.33826247689463956,0.12620689655172415,25.233914207406464,183,541,0.26709796672828096,0.1993103448275862,19.92513990694117,289,1082,0.20841035120147874,0.31103448275862067,15.547124737076933,451,2164,0.13292660380846738,0.49586206896551727,9.916141297071931,719,5409,0.21055151962968402,0.8905298261420589,14.279020178919811,0.17062065660196502,0.829379343398035,0.49859943977591037,0.03627312267463187,712,3461,716,91954,0.04309036275208327,0.4020618556701031,0.13655462184873948,27.266720090097895,195,485,0.31991744066047473,0.21708683473389356,21.695913659581482,310,969,0.2467733608673206,0.33473389355742295,16.735485004533565,478,1937,0.15651455709271114,0.530812324929972,10.614383230062623,758,4843
temporalblend_rep_oof_scores_feat_mixed_balance_mixed_loss_mixed_train_temporal_oof_ensemble_temporal_oof_pr_auc_weighted_blend,TemporalBlend | rep=oof_scores | feat=mixed | balance=mixed | loss=mixed | train=temporal_oof | ensemble=temporal_oof_pr_auc_weighted_blend,TemporalBlend,oof_scores,mixed,mixed,mixed,temporal_oof,temporal_oof_pr_auc_weighted_blend,"Non-negative OOF PR-AUC weighted blend. Base keys: ['catboost_no_balance', 'catboost_scale_pos_weight', 'xgboost_no_balance', 'lightgbm_no_balance', 'logistic_balanced']; weights=[0.21979, 0.210799, 0.200185, 0.197736, 0.17149].",0.3094098532452185,0.17380939245670132,0.8865750728151732,12.965940940176875,0.12368247694334651,0.8763175230566534,0.5179310344827586,0.049860379692273096,751,5321,699,101397,0.056134901264699354,0.3512014787430684,0.1310344827586207,26.19914589840015,190,541,0.26524953789279115,0.19793103448275862,19.78724966537064,287,1082,0.2088724584103512,0.3117241379310345,15.581597297469564,452,2164,0.13200221852468108,0.4924137931034483,9.847183429915656,714,5409,0.20973698269065805,0.8916761380441711,14.223780542514984,0.16978484565014032,0.8302151543498597,0.5084033613445378,0.037205890059215006,726,3550,702,91865,0.04415393988207718,0.38144329896907214,0.12955182072829133,25.868426752144156,185,485,0.3126934984520124,0.21218487394957983,21.20600593178448,303,969,0.2462570986060919,0.33403361344537813,16.70047352962868,477,1937,0.15795994218459633,0.5357142857142857,10.712405238783518,765,4843
temporalblend_rep_oof_scores_feat_mixed_balance_mixed_loss_mixed_train_temporal_oof_ensemble_temporal_uniform_rank_blend,TemporalBlend | rep=oof_scores | feat=mixed | balance=mixed | loss=mixed | train=temporal_oof | ensemble=temporal_uniform_rank_blend,TemporalBlend,oof_scores,mixed,mixed,mixed,temporal_oof,temporal_uniform_rank_blend,"Uniform rank blend over final base scores. Base keys: ['catboost_no_balance', 'catboost_scale_pos_weight', 'xgboost_no_balance', 'lightgbm_no_balance', 'logistic_balanced'].",0.9386509873530064,0.17516719758132496,0.8892645037420568,13.067231329639142,0.12288205296923836,0.8771179470307616,0.5151724137931034,0.04996345508723927,747,5332,703,101386,0.05619961541306116,0.3419593345656192,0.12758620689655173,25.509694690547516,185,541,0.2707948243992606,0.20206896551724138,20.20092039008222,293,1082,0.2097966728280961,0.31310344827586206,15.650542418254826,454,2164,0.13311148086522462,0.496551724137931,9.929932870503183,720,5409,0.21085128229701483,0.8943208908569978,14.299349251743562,0.1485386607473178,0.8514613392526822,0.5623249299719888,0.048241890688046955,803,4603,625,90812,0.05582231033735014,0.3958762886597938,0.13445378151260504,26.847232088711774,192,485,0.3126934984520124,0.21218487394957983,21.20600593178448,303,969,0.24161073825503357,0.3277310924369748,16.385370255484744,468,1937,0.15878587652281645,0.538515406162465,10.768417815195457,769,4843
