model_id,readable_model_name,model_family,representation,feature_set,balance_policy,loss_type,train_strategy,ensemble_type,notes,selected_threshold_fpr5,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,validation_precision_at_fpr5,validation_fdr_at_fpr5,validation_recall_at_fpr5,validation_fpr_at_fpr5,validation_tp_at_fpr5,validation_fp_at_fpr5,validation_fn_at_fpr5,validation_tn_at_fpr5,validation_alert_rate_at_fpr5,validation_precision_top_0_5pct,validation_recall_top_0_5pct,validation_lift_top_0_5pct,validation_captured_frauds_top_0_5pct,validation_alerts_top_0_5pct,validation_precision_top_1pct,validation_recall_top_1pct,validation_lift_top_1pct,validation_captured_frauds_top_1pct,validation_alerts_top_1pct,validation_precision_top_2pct,validation_recall_top_2pct,validation_lift_top_2pct,validation_captured_frauds_top_2pct,validation_alerts_top_2pct,validation_precision_top_5pct,validation_recall_top_5pct,validation_lift_top_5pct,validation_captured_frauds_top_5pct,validation_alerts_top_5pct,test_pr_auc,test_roc_auc,test_pr_auc_lift,test_precision_at_fpr5,test_fdr_at_fpr5,test_recall_at_fpr5,test_fpr_at_fpr5,test_tp_at_fpr5,test_fp_at_fpr5,test_fn_at_fpr5,test_tn_at_fpr5,test_alert_rate_at_fpr5,test_precision_top_0_5pct,test_recall_top_0_5pct,test_lift_top_0_5pct,test_captured_frauds_top_0_5pct,test_alerts_top_0_5pct,test_precision_top_1pct,test_recall_top_1pct,test_lift_top_1pct,test_captured_frauds_top_1pct,test_alerts_top_1pct,test_precision_top_2pct,test_recall_top_2pct,test_lift_top_2pct,test_captured_frauds_top_2pct,test_alerts_top_2pct,test_precision_top_5pct,test_recall_top_5pct,test_lift_top_5pct,test_captured_frauds_top_5pct,test_alerts_top_5pct,deployability_score,multi_objective_score,selection_rank
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_rank_average_ensemble_rank_average_cat_xgb_lgbm_lr,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=rank_average | ensemble=rank_average_cat_xgb_lgbm_lr,Blend,scores,mixed,mixed,mixed,rank_average,rank_average_cat_xgb_lgbm_lr,"Uniform rank-average score blend. Base model ids: ['catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none', 'lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none'].",0.9382026107536424,0.1748939154946862,0.8889059532341439,13.0468448629167,0.12324929971988796,0.876750700280112,0.5158620689655172,0.049860379692273096,748,5321,702,101397,0.05610716662968716,0.34011090573012936,0.12689655172413794,25.371804448976988,184,541,0.2680221811460259,0.2,19.99408502772643,290,1082,0.20471349353049909,0.30551724137931036,15.27134425393588,443,2164,0.1323719726381956,0.49379310344827587,9.874766576778168,716,5409,0.21025102241615667,0.8945748309280218,14.258641291209987,0.1467856492442178,0.8532143507557822,0.5644257703081232,0.04910129434575276,806,4685,622,90730,0.05670001961938395,0.3938144329896907,0.13375350140056022,26.707402754916398,191,485,0.31682146542827655,0.21498599439775912,21.485953204811334,307,969,0.24161073825503357,0.3277310924369748,16.385370255484744,468,1937,0.15899236010737147,0.5392156862745098,10.782420959298442,770,4843,0.65,0.8803085370178776,1
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_uniform_score_ensemble_weighted_score_blend_cat_xgb_lgbm_lr,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=uniform_score | ensemble=weighted_score_blend_cat_xgb_lgbm_lr,Blend,scores,mixed,mixed,mixed,uniform_score,weighted_score_blend_cat_xgb_lgbm_lr,"Uniform probability blend over strongest base model per family. Base model ids: ['catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none', 'lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none']; weights=[0.25, 0.25, 0.25, 0.25]",0.39613479413346947,0.17421497538152253,0.8869043776992668,12.996196866943812,0.12485587217921265,0.8751441278207873,0.5227586206896552,0.04978541576866133,758,5313,692,101405,0.05612565638636195,0.3512014787430684,0.1310344827586207,26.19914589840015,190,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.20471349353049909,0.30551724137931036,15.27134425393588,443,2164,0.1323719726381956,0.49379310344827587,9.874766576778168,716,5409,0.20930573034181738,0.8932034407852121,14.194534204126485,0.16686006033882572,0.8331399396611743,0.5035014005602241,0.03762511135565687,719,3590,709,91825,0.04449469760333736,0.38969072164948454,0.1323529411764706,26.427744087325653,189,485,0.31785345717234265,0.21568627450980393,21.555940023068054,308,969,0.24161073825503357,0.3277310924369748,16.385370255484744,468,1937,0.1571340078463762,0.5329131652661064,10.656392662371577,761,4843,0.65,0.9646921728805485,2
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_validation_pr_auc_weighted_score_blend_cat_xgb_lgbm_lr,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=validation_pr_auc_weighted_score_blend_cat_xgb_lgbm_lr,Blend,scores,mixed,mixed,mixed,validation_weighted,validation_pr_auc_weighted_score_blend_cat_xgb_lgbm_lr,"Validation PR-AUC weighted soft blend; D2 will tune weights more rigorously. Base model ids: ['catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none', 'lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none']; weights=[0.260125, 0.254644, 0.25117, 0.234062]",0.3885143661443199,0.17429657862205716,0.8869986642204302,13.002284356131502,0.12524850894632206,0.874751491053678,0.5213793103448275,0.04947618958376281,756,5280,694,101438,0.05580208564455292,0.3512014787430684,0.1310344827586207,26.19914589840015,190,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.205637707948244,0.30689655172413793,15.340289374721142,445,2164,0.13218709558143835,0.49310344827586206,9.860975003346912,715,5409,0.2094070714179241,0.8932612525175663,14.201406874878169,0.1672093023255814,0.8327906976744186,0.5035014005602241,0.03753078656395745,719,3581,709,91834,0.04440176367935731,0.38969072164948454,0.1323529411764706,26.427744087325653,189,485,0.31682146542827655,0.21498599439775912,21.485953204811334,307,969,0.24161073825503357,0.3277310924369748,16.385370255484744,468,1937,0.1569275242618212,0.5322128851540616,10.642389518268592,760,4843,0.65,0.9692992640404124,3
catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_plus_basic_generated | balance=none | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,original_plus_basic_generated,none,logloss,months_0_5,none,Native categorical CatBoost without class weighting.,0.03910919542737756,0.17301462759517797,0.8844998387629402,12.906652577734627,0.12174629324546953,0.8782537067545305,0.5096551724137931,0.049954084596787796,739,5331,711,101387,0.05611641150802455,0.3419593345656192,0.12758620689655173,25.509694690547516,185,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.2097966728280961,0.31310344827586206,15.650542418254826,454,2164,0.13163246441116658,0.4910344827586207,9.819600283053148,712,5409,0.2115335378154162,0.8918634518734393,14.345617929032459,0.16688712522045857,0.8331128747795414,0.5301120448179272,0.039605931981344655,757,3779,671,91636,0.04683869768594529,0.38556701030927837,0.13095238095238096,26.148085419734905,187,485,0.32610939112487103,0.22128851540616246,22.11583456912177,316,969,0.24780588538977802,0.33613445378151263,16.80550795434333,480,1937,0.1591988436919265,0.5399159663865546,10.796424103401426,771,4843,0.95,0.8210128642685226,4
temporalblend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_time_aware_month5_ensemble_time_aware_month5_weighted_score_blend,TemporalBlend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=time_aware_month5 | ensemble=time_aware_month5_weighted_score_blend,TemporalBlend,scores,mixed,mixed,mixed,time_aware_month5,time_aware_month5_weighted_score_blend,"Weights learned from month-5 out-of-time base scores from inner temporal fits. Base model ids: ['catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none', 'lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none']; weights=[0.266184, 0.250276, 0.262476, 0.221063]",0.376011941874935,0.1743627290891939,0.8870561861069877,13.007219089737879,0.12491727332892125,0.8750827266710788,0.5206896551724138,0.049560523997826046,755,5289,695,101429,0.05587604467125212,0.34935304990757854,0.13034482758620689,26.061255656829623,189,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.205637707948244,0.30689655172413793,15.340289374721142,445,2164,0.13200221852468108,0.4924137931034483,9.847183429915656,714,5409,0.2094841274957574,0.8932977582376032,14.206632604391901,0.1679035250463822,0.8320964749536178,0.5070028011204482,0.037604150290834776,724,3588,704,91827,0.04452567557799738,0.38969072164948454,0.1323529411764706,26.427744087325653,189,485,0.31682146542827655,0.21498599439775912,21.485953204811334,307,969,0.24109447599380485,0.32703081232493,16.350358780579864,467,1937,0.1569275242618212,0.5322128851540616,10.642389518268592,760,4843,0.55,0.9529318183689732,5
