model_id,readable_model_name,model_family,representation,feature_set,balance_policy,loss_type,train_strategy,ensemble_type,notes,selected_threshold_fpr5,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,validation_precision_at_fpr5,validation_fdr_at_fpr5,validation_recall_at_fpr5,validation_fpr_at_fpr5,validation_tp_at_fpr5,validation_fp_at_fpr5,validation_fn_at_fpr5,validation_tn_at_fpr5,validation_alert_rate_at_fpr5,validation_precision_top_0_5pct,validation_recall_top_0_5pct,validation_lift_top_0_5pct,validation_captured_frauds_top_0_5pct,validation_alerts_top_0_5pct,validation_precision_top_1pct,validation_recall_top_1pct,validation_lift_top_1pct,validation_captured_frauds_top_1pct,validation_alerts_top_1pct,validation_precision_top_2pct,validation_recall_top_2pct,validation_lift_top_2pct,validation_captured_frauds_top_2pct,validation_alerts_top_2pct,validation_precision_top_5pct,validation_recall_top_5pct,validation_lift_top_5pct,validation_captured_frauds_top_5pct,validation_alerts_top_5pct,test_pr_auc,test_roc_auc,test_pr_auc_lift,test_precision_at_fpr5,test_fdr_at_fpr5,test_recall_at_fpr5,test_fpr_at_fpr5,test_tp_at_fpr5,test_fp_at_fpr5,test_fn_at_fpr5,test_tn_at_fpr5,test_alert_rate_at_fpr5,test_precision_top_0_5pct,test_recall_top_0_5pct,test_lift_top_0_5pct,test_captured_frauds_top_0_5pct,test_alerts_top_0_5pct,test_precision_top_1pct,test_recall_top_1pct,test_lift_top_1pct,test_captured_frauds_top_1pct,test_alerts_top_1pct,test_precision_top_2pct,test_recall_top_2pct,test_lift_top_2pct,test_captured_frauds_top_2pct,test_alerts_top_2pct,test_precision_top_5pct,test_recall_top_5pct,test_lift_top_5pct,test_captured_frauds_top_5pct,test_alerts_top_5pct
catboost_rep_native_cat_feat_original_plus_basic_generated_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_plus_basic_generated | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,original_plus_basic_generated,scale_pos_weight,logloss,months_0_5,none,Native categorical CatBoost with positive-class weighting.,0.7451389866901782,0.17069151355741885,0.883357918484488,12.733351474813022,0.12246579858249547,0.8775342014175045,0.5124137931034483,0.04988849116362751,743,5324,707,101394,0.056088676873012354,0.3456561922365989,0.1289655172413793,25.78547517368857,187,541,0.2634011090573013,0.19655172413793104,19.649359423800114,285,1082,0.20609981515711645,0.30758620689655175,15.374761935113773,446,2164,0.12922906267332224,0.4820689655172414,9.64030982844684,699,5409,0.20538837862861492,0.885953341667852,13.92887027418134,0.1665877898722196,0.8334122101277804,0.49299719887955185,0.036912435151705704,704,3522,724,91893,0.04363764030441023,0.37731958762886597,0.12815126050420167,25.588768084553408,183,485,0.30959752321981426,0.21008403361344538,20.996045477014338,300,969,0.24367578729994838,0.33053221288515405,16.52541615510427,472,1937,0.15465620483171588,0.5245098039215687,10.488354933135756,749,4843
catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none,CatBoost | rep=native_cat | feat=original_plus_basic_generated | balance=none | loss=logloss | train=months_0_5 | ensemble=none,CatBoost,native_cat,original_plus_basic_generated,none,logloss,months_0_5,none,Native categorical CatBoost without class weighting.,0.03910919542737756,0.17301462759517797,0.8844998387629402,12.906652577734627,0.12174629324546953,0.8782537067545305,0.5096551724137931,0.049954084596787796,739,5331,711,101387,0.05611641150802455,0.3419593345656192,0.12758620689655173,25.509694690547516,185,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.2097966728280961,0.31310344827586206,15.650542418254826,454,2164,0.13163246441116658,0.4910344827586207,9.819600283053148,712,5409,0.2115335378154162,0.8918634518734393,14.345617929032459,0.16688712522045857,0.8331128747795414,0.5301120448179272,0.039605931981344655,757,3779,671,91636,0.04683869768594529,0.38556701030927837,0.13095238095238096,26.148085419734905,187,485,0.32610939112487103,0.22128851540616246,22.11583456912177,316,969,0.24780588538977802,0.33613445378151263,16.80550795434333,480,1937,0.1591988436919265,0.5399159663865546,10.796424103401426,771,4843
xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,XGBoost | rep=target_frequency | feat=full_advanced | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,XGBoost,target_frequency,full_advanced,scale_pos_weight,logloss,months_0_5,none,Target/frequency encoded XGBoost with scale_pos_weight.,0.7617959976196289,0.16936929458194708,0.8844398676240507,12.634715762993139,0.12382831771090282,0.8761716822890971,0.5193103448275862,0.049925973125433384,753,5328,697,101390,0.056218105169735966,0.34750462107208874,0.1296551724137931,25.9233654152591,188,541,0.2587800369685767,0.19310344827586207,19.304633819873796,280,1082,0.19824399260628467,0.29586206896551726,14.788728408439034,429,2164,0.13052320207062304,0.4868965517241379,9.736850842465623,706,5409,0.20138994441802413,0.889795895300949,13.657707554113943,0.15595134665508253,0.8440486533449174,0.5028011204481793,0.04072734894932663,718,3886,710,91529,0.047540865111572336,0.36907216494845363,0.1253501400560224,25.029450749371914,179,485,0.3023735810113519,0.20518207282913165,20.506137749217334,293,969,0.23335054207537428,0.3165266106442577,15.825186657006633,452,1937,0.15300433615527564,0.5189075630252101,10.376329780311876,741,4843
xgboost_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none,XGBoost | rep=target_frequency | feat=full_advanced | balance=none | loss=logloss | train=months_0_5 | ensemble=none,XGBoost,target_frequency,full_advanced,none,logloss,months_0_5,none,Target/frequency encoded XGBoost without class weighting.,0.04240449517965317,0.16879153524239884,0.8873823631859926,12.591615713172274,0.12045604758757436,0.8795439524124257,0.5027586206896552,0.049879120673176035,729,5323,721,101395,0.055950003697951334,0.3364140480591497,0.12551724137931033,25.096023965835933,182,541,0.26155268022181144,0.19517241379310346,19.511469182229586,283,1082,0.2033271719038817,0.30344827586206896,15.167926572757983,440,2164,0.12996857090035127,0.48482758620689653,9.69547612217186,703,5409,0.20633112055512762,0.8919183792575879,13.992804417311081,0.15430982519590114,0.8456901748040988,0.5378151260504201,0.04411256091809464,768,4209,660,91206,0.05139245996096775,0.36907216494845363,0.1253501400560224,25.029450749371914,179,485,0.30340557275541796,0.20588235294117646,20.57612456747405,294,969,0.24109447599380485,0.32703081232493,16.350358780579864,467,1937,0.15651455709271114,0.530812324929972,10.614383230062623,758,4843
lightgbm_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none,LightGBM | rep=target_frequency | feat=full_advanced | balance=scale_pos_weight | loss=logloss | train=months_0_5 | ensemble=none,LightGBM,target_frequency,full_advanced,scale_pos_weight,logloss,months_0_5,none,Target/frequency encoded LightGBM with scale_pos_weight.,0.7970598220771692,0.16316736164419665,0.8781044854922189,12.172060120227215,0.11811414392059554,0.8818858560794045,0.4924137931034483,0.049954084596787796,714,5331,736,101387,0.055885289549589524,0.32532347504621073,0.12137931034482759,24.268682516412774,176,541,0.266173752310536,0.1986206896551724,19.856194786155903,288,1082,0.19500924214417745,0.2910344827586207,14.54742048569061,422,2164,0.12719541504899243,0.47448275862068967,9.488602520703044,688,5409,0.198961563224895,0.8868335596042116,13.49302147576226,0.15608348134991118,0.8439165186500888,0.49229691876750703,0.039836503694387675,703,3801,725,91614,0.04650826595623845,0.41030927835051545,0.13935574229691877,27.826037425279388,199,485,0.3023735810113519,0.20518207282913165,20.506137749217334,293,969,0.2328342798141456,0.3158263305322129,15.790175182101752,451,1937,0.15073301672517034,0.511204481792717,10.222295195179042,730,4843
lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none,LightGBM | rep=target_frequency | feat=full_advanced | balance=none | loss=logloss | train=months_0_5 | ensemble=none,LightGBM,target_frequency,full_advanced,none,logloss,months_0_5,none,Target/frequency encoded LightGBM without class weighting.,0.04048488321370284,0.16705848477480323,0.8867729129494362,12.462332538704079,0.1232650363516193,0.8767349636483807,0.5144827586206897,0.04971982233550104,746,5306,704,101412,0.055950003697951334,0.3419593345656192,0.12758620689655173,25.509694690547516,185,541,0.26062846580406657,0.19448275862068964,19.442524061444324,282,1082,0.19685767097966728,0.29379310344827586,14.685310727261138,426,2164,0.1301534479571085,0.48551724137931035,9.709267695603112,704,5409,0.20007898120048018,0.8912355813781785,13.56880166414433,0.15592515592515593,0.844074844074844,0.5252100840336135,0.04255096158884871,750,4060,678,91355,0.04966801937156015,0.3649484536082474,0.12394957983193278,24.749792081781166,177,485,0.30546955624355004,0.20728291316526612,20.716098203987478,296,969,0.24264326277749096,0.3291316526610644,16.45539320529451,470,1937,0.15506917200082593,0.5259103641456583,10.516361221341727,751,4843
logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none,LogisticRegression | rep=target_frequency | feat=full_advanced | balance=class_weight_balanced | loss=logloss | train=months_0_5 | ensemble=none,LogisticRegression,target_frequency,full_advanced,class_weight_balanced,logloss,months_0_5,none,Conservative linear benchmark with balanced class weights.,0.768545495562732,0.15567984085658687,0.8797587777261504,11.613501397086406,0.11993327773144287,0.8800667222685571,0.49586206896551727,0.049438707621956936,719,5276,731,101442,0.05542304563271947,0.3179297597042514,0.11862068965517242,23.717121550130667,172,541,0.25231053604436227,0.18827586206896552,18.822017974376948,273,1082,0.19085027726432532,0.2848275862068966,14.237167442156924,413,2164,0.12756516916250693,0.47586206896551725,9.516185667565551,690,5409,0.19000624179226228,0.8870090644862463,12.885696410285753,0.16619427982478743,0.8338057201752126,0.45168067226890757,0.03391500288214641,645,3236,783,92179,0.04007517321850831,0.3670103092783505,0.12464985994397759,24.88962141557654,178,485,0.2961816305469556,0.20098039215686275,20.086216839677046,287,969,0.23180175529168817,0.31442577030812324,15.720152232291987,449,1937,0.1509395003097254,0.5119047619047619,10.236298339282028,731,4843
logisticregression_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none,LogisticRegression | rep=target_frequency | feat=full_advanced | balance=none | loss=logloss | train=months_0_5 | ensemble=none,LogisticRegression,target_frequency,full_advanced,none,logloss,months_0_5,none,Conservative linear benchmark without class weights.,0.03644767170040195,0.14746827096060333,0.8736592799198145,11.000929609149338,0.11579296615792967,0.8842070338420703,0.48137931034482756,0.04994471410633632,698,5330,752,101388,0.05572812661785371,0.30129390018484287,0.11241379310344828,22.476109375995918,163,541,0.24676524953789278,0.18413793103448275,18.40834724966537,267,1082,0.18946395563770796,0.2827586206896552,14.13374976097903,410,2164,0.12146422628951747,0.4531034482758621,9.061063744334156,657,5409,0.17759722849486312,0.8794102821655833,12.044151540005622,0.16166166166166165,0.8383383383383384,0.4523809523809524,0.03510978357700571,646,3350,782,92065,0.041262662247142284,0.334020618556701,0.1134453781512605,22.65235207485056,162,485,0.2961816305469556,0.20098039215686275,20.086216839677046,287,969,0.23025296850800206,0.3123249299719888,15.615117807577342,446,1937,0.14557092711129466,0.49369747899159666,9.872216592604417,705,4843
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_uniform_score_ensemble_weighted_score_blend_cat_xgb_lgbm_lr,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=uniform_score | ensemble=weighted_score_blend_cat_xgb_lgbm_lr,Blend,scores,mixed,mixed,mixed,uniform_score,weighted_score_blend_cat_xgb_lgbm_lr,"Uniform probability blend over strongest base model per family. Base model ids: ['catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none', 'lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none']; weights=[0.25, 0.25, 0.25, 0.25]",0.39613479413346947,0.17421497538152253,0.8869043776992668,12.996196866943812,0.12485587217921265,0.8751441278207873,0.5227586206896552,0.04978541576866133,758,5313,692,101405,0.05612565638636195,0.3512014787430684,0.1310344827586207,26.19914589840015,190,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.20471349353049909,0.30551724137931036,15.27134425393588,443,2164,0.1323719726381956,0.49379310344827587,9.874766576778168,716,5409,0.20930573034181738,0.8932034407852121,14.194534204126485,0.16686006033882572,0.8331399396611743,0.5035014005602241,0.03762511135565687,719,3590,709,91825,0.04449469760333736,0.38969072164948454,0.1323529411764706,26.427744087325653,189,485,0.31785345717234265,0.21568627450980393,21.555940023068054,308,969,0.24161073825503357,0.3277310924369748,16.385370255484744,468,1937,0.1571340078463762,0.5329131652661064,10.656392662371577,761,4843
blend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_validation_weighted_ensemble_validation_pr_auc_weighted_score_blend_cat_xgb_lgbm_lr,Blend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=validation_weighted | ensemble=validation_pr_auc_weighted_score_blend_cat_xgb_lgbm_lr,Blend,scores,mixed,mixed,mixed,validation_weighted,validation_pr_auc_weighted_score_blend_cat_xgb_lgbm_lr,"Validation PR-AUC weighted soft blend; D2 will tune weights more rigorously. Base model ids: ['catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none', 'lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none']; weights=[0.260125, 0.254644, 0.25117, 0.234062]",0.3885143661443199,0.17429657862205716,0.8869986642204302,13.002284356131502,0.12524850894632206,0.874751491053678,0.5213793103448275,0.04947618958376281,756,5280,694,101438,0.05580208564455292,0.3512014787430684,0.1310344827586207,26.19914589840015,190,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.205637707948244,0.30689655172413793,15.340289374721142,445,2164,0.13218709558143835,0.49310344827586206,9.860975003346912,715,5409,0.2094070714179241,0.8932612525175663,14.201406874878169,0.1672093023255814,0.8327906976744186,0.5035014005602241,0.03753078656395745,719,3581,709,91834,0.04440176367935731,0.38969072164948454,0.1323529411764706,26.427744087325653,189,485,0.31682146542827655,0.21498599439775912,21.485953204811334,307,969,0.24161073825503357,0.3277310924369748,16.385370255484744,468,1937,0.1569275242618212,0.5322128851540616,10.642389518268592,760,4843
temporalblend_rep_scores_feat_mixed_balance_mixed_loss_mixed_train_time_aware_month5_ensemble_time_aware_month5_weighted_score_blend,TemporalBlend | rep=scores | feat=mixed | balance=mixed | loss=mixed | train=time_aware_month5 | ensemble=time_aware_month5_weighted_score_blend,TemporalBlend,scores,mixed,mixed,mixed,time_aware_month5,time_aware_month5_weighted_score_blend,"Weights learned from month-5 out-of-time base scores from inner temporal fits. Base model ids: ['catboost_rep_native_cat_feat_original_plus_basic_generated_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'xgboost_rep_target_frequency_feat_full_advanced_balance_scale_pos_weight_loss_logloss_train_months_0_5_ensemble_none', 'lightgbm_rep_target_frequency_feat_full_advanced_balance_none_loss_logloss_train_months_0_5_ensemble_none', 'logisticregression_rep_target_frequency_feat_full_advanced_balance_class_weight_balanced_loss_logloss_train_months_0_5_ensemble_none']; weights=[0.266184, 0.250276, 0.262476, 0.221063]",0.376011941874935,0.1743627290891939,0.8870561861069877,13.007219089737879,0.12491727332892125,0.8750827266710788,0.5206896551724138,0.049560523997826046,755,5289,695,101429,0.05587604467125212,0.34935304990757854,0.13034482758620689,26.061255656829623,189,541,0.2698706099815157,0.2013793103448276,20.131975269296955,292,1082,0.205637707948244,0.30689655172413793,15.340289374721142,445,2164,0.13200221852468108,0.4924137931034483,9.847183429915656,714,5409,0.2094841274957574,0.8932977582376032,14.206632604391901,0.1679035250463822,0.8320964749536178,0.5070028011204482,0.037604150290834776,724,3588,704,91827,0.04452567557799738,0.38969072164948454,0.1323529411764706,26.427744087325653,189,485,0.31682146542827655,0.21498599439775912,21.485953204811334,307,969,0.24109447599380485,0.32703081232493,16.350358780579864,467,1937,0.1569275242618212,0.5322128851540616,10.642389518268592,760,4843
