model,split,topk_pct,topk_label,k,precision_at_k,fdr_at_k,recall_at_k,lift_at_k,fp_per_tp_at_k,fraud_prevalence,captured_frauds
imbalance_ensemble_gate | Balance Cascade | validation_selected,test,0.005,top_0.5pct,485,0.10721649484536082,0.8927835051546392,0.036414565826330535,7.2711253573594385,8.326923076923077,0.014745515938167962,52
imbalance_ensemble_gate | Balance Cascade | validation_selected,test,0.01,top_1.0pct,969,0.07327141382868937,0.9267285861713106,0.04971988795518207,4.9690640962267265,12.647887323943662,0.014745515938167962,71
imbalance_ensemble_gate | Balance Cascade | validation_selected,test,0.02,top_2.0pct,1937,0.053691275167785234,0.9463087248322147,0.07282913165266107,3.6411933901077207,17.625,0.014745515938167962,104
imbalance_ensemble_gate | Balance Cascade | validation_selected,test,0.05,top_5.0pct,4843,0.03324385711335949,0.9667561428866405,0.11274509803921569,2.2545062005805834,29.080745341614907,0.014745515938167962,161
imbalance_ensemble_gate | Balance Cascade | validation_selected,test,0.1,top_10.0pct,9685,0.022715539494062985,0.977284460505937,0.15406162464985995,1.540504895814805,43.02272727272727,0.014745515938167962,220
imbalance_ensemble_gate | Balance Cascade | default,validation,0.005,top_0.5pct,541,0.059149722735674676,0.9408502772643254,0.022068965517241378,4.412487730256868,15.90625,0.013405073589231566,32
imbalance_ensemble_gate | Balance Cascade | default,validation,0.01,top_1.0pct,1082,0.036968576709796676,0.9630314232902033,0.027586206896551724,2.7578048314105423,26.05,0.013405073589231566,40
imbalance_ensemble_gate | Balance Cascade | default,validation,0.02,top_2.0pct,2164,0.030961182994454713,0.9690388170055453,0.046206896551724136,2.3096615463063292,31.29850746268657,0.013405073589231566,67
imbalance_ensemble_gate | Balance Cascade | default,validation,0.05,top_5.0pct,5409,0.021630615640599003,0.978369384359401,0.08068965517241379,1.6136140914567676,45.23076923076923,0.013405073589231566,117
imbalance_ensemble_gate | Balance Cascade | default,validation,0.1,top_10.0pct,10817,0.016917814551169457,0.9830821854488305,0.12620689655172415,1.2620456306006191,58.10928961748634,0.013405073589231566,183
imbalance_ensemble_gate | Balance Cascade | default,test,0.005,top_0.5pct,485,0.07010309278350516,0.9298969072164949,0.023809523809523808,4.75419734904271,13.264705882352942,0.014745515938167962,34
imbalance_ensemble_gate | Balance Cascade | default,test,0.01,top_1.0pct,969,0.0412796697626419,0.9587203302373581,0.028011204481792718,2.7994727302685782,23.225,0.014745515938167962,40
imbalance_ensemble_gate | Balance Cascade | default,test,0.02,top_2.0pct,1937,0.036138358286009295,0.9638616417139907,0.049019607843137254,2.4508032433417353,26.67142857142857,0.014745515938167962,70
imbalance_ensemble_gate | Balance Cascade | default,test,0.05,top_5.0pct,4843,0.021680776378277925,0.9783192236217221,0.07352941176470588,1.4703301308134238,45.12380952380953,0.014745515938167962,105
imbalance_ensemble_gate | Balance Cascade | default,test,0.1,top_10.0pct,9685,0.016417139907072793,0.9835828600929272,0.11134453781512606,1.1133649019752454,59.911949685534594,0.014745515938167962,159
