model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
baseline | XGBoost,baseline_search,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.7965519428253174,0.1811417319058832,0.8912883648881907,13.512923349514189,0.20596460776458408,0.8943105827983343,13.967948536236426,12.135714530944824
baseline | CatBoost,baseline_search,CatBoost,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,0.7874011234264661,0.1802422480866976,0.8914777069569751,13.445823097270278,0.21770910131858748,0.8966794546776421,14.764427520305299,90.13799524307251
baseline | LightGBM,baseline_search,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.8361452176052429,0.16753308011593543,0.8836967812688419,12.497736696538277,0.20213883964133372,0.8896031210262233,13.708495551390534,16.262763261795044
baseline | Random Forest,baseline_search,Random Forest,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.6399207700174235,0.1543480393964942,0.8793229788336777,11.514150845131022,0.175278063239611,0.8800466002048254,11.886872183693031,58.464207887649536
baseline | Logistic Regression,baseline_search,Logistic Regression,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.7768670748835765,0.14917121754504595,0.8766576688416974,11.127967075456917,0.17986403832095657,0.8815050382150449,12.197880296299997,122.7742247581482
baseline | Decision Tree,baseline_search,Decision Tree,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.8371008459922289,0.08846348556215292,0.8310365733473526,6.599254004335831,0.11056413792841763,0.8399135444147791,7.498153227872373,33.819215536117554
