model,parent_feature,mean_abs_shap,mean_shap,n_rows
hyperparameter_tuned | XGBoost,device_fraud_count,0.0,0.0,1500
advanced_gate | CatBoost,device_os,0.45873985395979844,-0.036126863216608546,1500
advanced_gate | CatBoost,has_other_cards,0.331244540954552,0.013385503626569711,1500
advanced_gate | CatBoost,prev_address_months_count,0.31829649596694487,0.04693201085266859,1500
advanced_gate | CatBoost,name_email_similarity,0.30829764258711423,0.06214831681507678,1500
advanced_gate | CatBoost,phone_home_valid,0.2944834838902616,-0.010848584890628404,1500
advanced_gate | CatBoost,keep_alive_session,0.2878947369701177,-0.010111160061626056,1500
advanced_gate | CatBoost,current_address_months_count,0.28386688299511925,0.02073420222057823,1500
advanced_gate | CatBoost,housing_status,0.2819929029824148,-0.003275527335030251,1500
advanced_gate | CatBoost,income,0.24074713312703663,0.07649235924188096,1500
advanced_gate | CatBoost,intended_balcon_amount,0.18712635307434372,0.0016597550363155473,1500
advanced_gate | CatBoost,bank_branch_count_8w,0.17100504196166913,0.003697335148094128,1500
advanced_gate | CatBoost,email_free__source,0.16463527785347734,-0.020222438154775035,1500
advanced_gate | CatBoost,customer_age,0.149462566526607,0.0065531098233790885,1500
advanced_gate | CatBoost,employment_status,0.11047304749284115,0.01879672657094326,1500
advanced_gate | CatBoost,velocity_4w,0.10134036084296764,0.018049984945827737,1500
advanced_gate | CatBoost,credit_risk_score,0.09282068321895028,0.02026281426997629,1500
advanced_gate | CatBoost,bank_months_count,0.08667599353390547,-0.002364301943147865,1500
advanced_gate | CatBoost,date_of_birth_distinct_emails_4w,0.08419968007399717,0.025501534861129157,1500
advanced_gate | CatBoost,phone_valid_combo,0.08162844708619549,-0.009856207480233786,1500
advanced_gate | CatBoost,email_is_free,0.07704387468425308,-0.010253633171895567,1500
advanced_gate | CatBoost,days_since_request,0.06983765640492126,-0.011076046216088101,1500
advanced_gate | CatBoost,zip_count_4w,0.0667972956044396,-0.027909782477439266,1500
advanced_gate | CatBoost,velocity_24h,0.06070610889090484,-0.04401541560856278,1500
advanced_gate | CatBoost,payment_type,0.05035456370104767,0.008712070114677343,1500
advanced_gate | CatBoost,device_distinct_emails_8w,0.04231436625528255,-0.010015661768237842,1500
advanced_gate | CatBoost,address_months_to_age,0.03357488571578016,0.010630664187836824,1500
advanced_gate | CatBoost,log1p_zip_count_4w,0.031198811663549923,-0.011485462790879244,1500
advanced_gate | CatBoost,log1p_proposed_credit_limit,0.030289730112896162,-0.004674712856250957,1500
advanced_gate | CatBoost,risk_score_to_credit_limit,0.02924671786438627,0.01091117980214439,1500
advanced_gate | CatBoost,velocity_6h,0.02215161371760929,0.010288759681967647,1500
advanced_gate | CatBoost,proposed_credit_limit,0.02106033962908068,-0.0033673347250674085,1500
advanced_gate | CatBoost,session_length_in_minutes,0.017127335290933642,-0.0013795383400972345,1500
