model,model_family,feature_policy,threshold_policy,attribute,group,group_size,fraud_prevalence,alert_rate,precision,fdr,recall_tpr,fnr,fpr,tnr,tp,fp,fn,tn
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,customer_age_group,51+,2942,0.055064581917063225,0.1937457511896669,0.21228070175438596,0.787719298245614,0.7469135802469136,0.25308641975308643,0.16151079136690646,0.8384892086330935,121,449,41,2331
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,high_0.7_0.9,64414,0.01797745831651504,0.06518769211662061,0.15813288878304357,0.8418671112169565,0.5734024179620034,0.4265975820379965,0.05588402681168585,0.9441159731883142,664,3535,494,59721
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,low_0.1_0.3,20645,0.007217243884717849,0.022765802857834826,0.1425531914893617,0.8574468085106383,0.44966442953020136,0.5503355704697986,0.019662373145979704,0.9803376268540203,67,403,82,20093
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_global_5pct_fpr,income_group,mid_0.4_0.6,11784,0.01026816021724372,0.03284114052953157,0.1524547803617571,0.8475452196382429,0.48760330578512395,0.512396694214876,0.028123124410529023,0.971876875589471,59,328,62,11335
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BA,19182,0.04686685434261287,0.0004170576582212491,0.875,0.125,0.00778642936596218,0.9922135706340378,5.4695618880927636e-05,0.9999453043811191,7,1,892,18282
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BB,23213,0.007151165295308663,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,166,23047
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BC,37502,0.007092955042397739,2.666524452029225e-05,1.0,0.0,0.0037593984962406013,0.9962406015037594,0.0,1.0,1,0,265,37236
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BD,4478,0.009379187137114784,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,42,4436
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BE,12327,0.004380627889997567,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,54,12273
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BF,135,0.007407407407407408,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,1,134
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,housing_status,BG,6,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0,0,0,6
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CA,74882,0.01595844128094869,0.00010683475334526322,0.875,0.125,0.005857740585774059,0.994142259414226,1.3570914815367704e-05,0.9999864290851846,7,1,1188,73686
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CB,11275,0.010199556541019957,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,115,11160
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CC,2265,0.03708609271523179,0.0004415011037527594,1.0,0.0,0.011904761904761904,0.9880952380952381,0.0,1.0,1,0,83,2181
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CD,2513,0.00477516912057302,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,12,2501
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CE,2252,0.003996447602131439,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,9,2243
hyperparameter_tuned | XGBoost,XGBoost,with_housing_status,valid_business_fdr30,employment_status,CF,3618,0.0030403537866224434,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,11,3607
