model,model_family,feature_policy,stage,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold_selected_on,feasible,selection_notes,threshold,alerts,alert_count,tp,fp,fn,tn,precision,fdr,recall_tpr,fpr,fnr,tnr,specificity_tnr,alert_rate,fraud_prevalence,lift,precision_lift,fp_per_tp,pr_auc,roc_auc,pr_auc_lift,n_obs
baseline | XGBoost,XGBoost,with_housing_status,baseline_search,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.9863830804824828,9.0,9.0,8.0,1.0,1420.0,95414.0,0.8888888888888888,0.1111111111111111,0.0056022408963585,1.0480532411046482e-05,0.9943977591036416,0.999989519467589,0.999989519467589,9.29339239800502e-05,0.0147455159381679,60.281979458450046,60.281979458450046,0.125,0.205964607764584,0.8943105827983343,13.967948536236426,96843.0
baseline | XGBoost,XGBoost,with_housing_status,baseline_search,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.8684527277946472,2478.0,2478.0,537.0,1941.0,891.0,93474.0,0.2167070217917675,0.7832929782082324,0.3760504201680672,0.0203427134098412,0.6239495798319328,0.9796572865901588,0.9796572865901588,0.0255878070691738,0.0147455159381679,14.696469265672372,14.696469265672372,3.6145251396648046,0.205964607764584,0.8943105827983343,13.967948536236426,96843.0
baseline | CatBoost,CatBoost,with_housing_status,baseline_search,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.7874011234264661,4695.0,4695.0,763.0,3932.0,665.0,91483.0,0.1625133120340788,0.8374866879659212,0.5343137254901961,0.0412094534402347,0.4656862745098039,0.9587905465597653,0.9587905465597653,0.0484805303429261,0.0147455159381679,11.0212021549834,11.0212021549834,5.153342070773263,0.2177091013185874,0.8966794546776421,14.7644275203053,96843.0
baseline | CatBoost,CatBoost,with_housing_status,baseline_search,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.994082688272304,6.0,6.0,6.0,0.0,1422.0,95415.0,1.0,0.0,0.0042016806722689,0.0,0.9957983193277312,1.0,1.0,6.195594932003346e-05,0.0147455159381679,67.8172268907563,67.8172268907563,0.0,0.2177091013185874,0.8966794546776421,14.7644275203053,96843.0
baseline | CatBoost,CatBoost,with_housing_status,baseline_search,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.855494938430512,2646.0,2646.0,596.0,2050.0,832.0,93365.0,0.2252456538170824,0.7747543461829176,0.4173669467787115,0.0214850914426452,0.5826330532212886,0.9785149085573548,0.9785149085573548,0.0273225736501347,0.0147455159381679,15.275535611069824,15.275535611069824,3.4395973154362416,0.2177091013185874,0.8966794546776421,14.7644275203053,96843.0
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,anomaly_recency_gate,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.8041242361068726,4924.0,4924.0,782.0,4142.0,646.0,91273.0,0.1588139723801787,0.8411860276198213,0.5476190476190477,0.0434103652465545,0.4523809523809524,0.9565896347534456,0.9565896347534456,0.0508451824086407,0.0147455159381679,10.770323198328883,10.770323198328883,5.296675191815857,0.2126527605305548,0.8947077898391972,14.4215205098463,96843.0
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,anomaly_recency_gate,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.9902204275131226,5.0,5.0,5.0,0.0,1423.0,95415.0,1.0,0.0,0.003501400560224,0.0,0.996498599439776,1.0,1.0,5.162995776669455e-05,0.0147455159381679,67.8172268907563,67.8172268907563,0.0,0.2126527605305548,0.8947077898391972,14.4215205098463,96843.0
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,XGBoost,with_housing_status,anomaly_recency_gate,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.8711321353912354,2745.0,2745.0,590.0,2155.0,838.0,93260.0,0.2149362477231329,0.7850637522768671,0.4131652661064425,0.0225855473458051,0.5868347338935574,0.9774144526541948,0.9774144526541948,0.0283448468139153,0.0147455159381679,14.57638027888751,14.57638027888751,3.652542372881356,0.2126527605305548,0.8947077898391972,14.4215205098463,96843.0
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,anomaly_recency_gate,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.8010172247886658,4683.0,4683.0,755.0,3928.0,673.0,91487.0,0.1612214392483451,0.8387785607516549,0.5287114845938375,0.0411675313105905,0.4712885154061624,0.9588324686894094,0.9588324686894094,0.0483566184442861,0.0147455159381679,10.933590925159304,10.933590925159304,5.202649006622517,0.2121165570311613,0.8947012248278237,14.385156675468318,96843.0
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,anomaly_recency_gate,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.9869980812072754,20.0,20.0,17.0,3.0,1411.0,95412.0,0.85,0.15,0.0119047619047619,3.144159723313944e-05,0.988095238095238,0.9999685584027668,0.9999685584027668,0.0002065198310667,0.0147455159381679,57.644642857142856,57.644642857142856,0.1764705882352941,0.2121165570311613,0.8947012248278237,14.385156675468318,96843.0
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,XGBoost,with_housing_status,anomaly_recency_gate,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.8798913955688477,2273.0,2273.0,520.0,1753.0,908.0,93662.0,0.2287725472943246,0.7712274527056753,0.3641456582633053,0.0183723733165644,0.6358543417366946,0.9816276266834356,0.9816276266834356,0.0234709788007393,0.0147455159381679,15.514719746235492,15.514719746235492,3.371153846153846,0.2121165570311613,0.8947012248278237,14.385156675468318,96843.0
advanced_gate | XGBoost,XGBoost,with_housing_status,advanced_gate,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_global_5pct_fpr,validation,True,Maximize validation recall subject to FPR <= 5%.,0.8010172247886658,4683.0,4683.0,755.0,3928.0,673.0,91487.0,0.1612214392483451,0.8387785607516549,0.5287114845938375,0.0411675313105905,0.4712885154061624,0.9588324686894094,0.9588324686894094,0.0483566184442861,0.0147455159381679,10.933590925159304,10.933590925159304,5.202649006622517,0.2121165570311613,0.8947012248278237,14.385156675468318,96843.0
advanced_gate | XGBoost,XGBoost,with_housing_status,advanced_gate,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_business_fdr30,validation,True,Maximize validation recall subject to FDR <= 30%.,0.9869980812072754,20.0,20.0,17.0,3.0,1411.0,95412.0,0.85,0.15,0.0119047619047619,3.144159723313944e-05,0.988095238095238,0.9999685584027668,0.9999685584027668,0.0002065198310667,0.0147455159381679,57.644642857142856,57.644642857142856,0.1764705882352941,0.2121165570311613,0.8947012248278237,14.385156675468318,96843.0
advanced_gate | XGBoost,XGBoost,with_housing_status,advanced_gate,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,test,valid_cost_sensitive_10_to_1,validation,True,Minimize validation total cost with C_FN:C_FP = 10:1.,0.8798913955688477,2273.0,2273.0,520.0,1753.0,908.0,93662.0,0.2287725472943246,0.7712274527056753,0.3641456582633053,0.0183723733165644,0.6358543417366946,0.9816276266834356,0.9816276266834356,0.0234709788007393,0.0147455159381679,15.514719746235492,15.514719746235492,3.371153846153846,0.2121165570311613,0.8947012248278237,14.385156675468318,96843.0
