model,feature,mean_abs_shap,mean_shap,reportable_feature_name
hyperparameter_tuned | XGBoost,housing_status_BB,0.04044940547034777,0.0014342241369436192,True
hyperparameter_tuned | XGBoost,payment_type_AC,0.04007603531608342,0.0011150329906058803,True
hyperparameter_tuned | XGBoost,payment_type_AA,0.031860722638615384,0.00027873895563961096,True
hyperparameter_tuned | XGBoost,phone_mobile_valid,0.030554237056185183,-0.006613209996218787,True
hyperparameter_tuned | XGBoost,device_distinct_emails_8w,0.027293542115612277,0.010111679717095878,True
hyperparameter_tuned | XGBoost,employment_status_CF,0.02492373186452004,-0.0035540215080573003,True
hyperparameter_tuned | XGBoost,foreign_request,0.019211174571802093,-0.0006244799753736402,True
hyperparameter_tuned | XGBoost,employment_status_CC,0.016572534258623265,0.0013462329451211993,True
hyperparameter_tuned | XGBoost,payment_type_AB,0.015661077984498544,-0.001106131200133821,True
hyperparameter_tuned | XGBoost,employment_status_CB,0.015561147571376412,0.0026664571383467435,True
hyperparameter_tuned | XGBoost,employment_status_CE,0.013852591530879334,-0.013852591530879334,True
hyperparameter_tuned | XGBoost,payment_type_AD,0.009016663991399105,0.0008734204344451398,True
advanced_gate | CatBoost,device_os,0.4112667966281132,-0.035950269555595264,True
advanced_gate | CatBoost,has_other_cards,0.33124454095455164,0.013385503626569699,True
advanced_gate | CatBoost,name_email_similarity,0.30829764258711434,0.06214831681507675,True
advanced_gate | CatBoost,phone_home_valid,0.29448348389026124,-0.010848584890628399,True
advanced_gate | CatBoost,keep_alive_session,0.2878947369701177,-0.01011116006162606,True
advanced_gate | CatBoost,current_address_months_count,0.2838668829951189,0.020734202220578243,True
advanced_gate | CatBoost,housing_status,0.2819929029824153,-0.003275527335030245,True
advanced_gate | CatBoost,prev_address_months_count,0.2785061807824388,0.037935522210435765,True
advanced_gate | CatBoost,income,0.24074713312703655,0.07649235924188101,True
advanced_gate | CatBoost,intended_balcon_amount,0.187126353074344,0.0016597550363155473,True
advanced_gate | CatBoost,bank_branch_count_8w,0.17100504196166905,0.003697335148094133,True
advanced_gate | CatBoost,email_free__source,0.16463527785347748,-0.02022243815477505,True
advanced_gate | CatBoost,customer_age,0.14946256652660728,0.006553109823379085,True
advanced_gate | CatBoost,employment_status,0.11047304749284126,0.01879672657094326,True
advanced_gate | CatBoost,velocity_4w,0.10134036084296762,0.018049984945827748,True
advanced_gate | CatBoost,credit_risk_score,0.09282068321895046,0.02026281426997629,True
advanced_gate | CatBoost,date_of_birth_distinct_emails_4w,0.08419968007399713,0.025501534861129143,True
advanced_gate | CatBoost,phone_valid_combo,0.08162844708619559,-0.009856207480233792,True
advanced_gate | CatBoost,email_is_free,0.07704387468425304,-0.010253633171895565,True
advanced_gate | CatBoost,bank_months_count,0.07026913072051179,-0.0035640705393606533,True
advanced_gate | CatBoost,days_since_request,0.06983765640492134,-0.011076046216088093,True
advanced_gate | CatBoost,zip_count_4w,0.06679729560443963,-0.027909782477439218,True
advanced_gate | CatBoost,velocity_24h,0.057225530942173176,-0.042124759426219544,True
advanced_gate | CatBoost,payment_type__employment_status,0.050274711206699976,0.009043163249995689,True
advanced_gate | CatBoost,device_os__source,0.04803914293716998,-0.00017659366101321265,True
advanced_gate | CatBoost,device_distinct_emails_8w,0.04231436625528252,-0.010015661768237847,True
advanced_gate | CatBoost,prev_address_months_count_was_missing,0.03979031518450659,0.008996488642232783,True
advanced_gate | CatBoost,address_months_to_age,0.03357488571578015,0.010630664187836827,True
advanced_gate | CatBoost,log1p_zip_count_4w,0.0311988116635499,-0.011485462790879251,True
advanced_gate | CatBoost,log1p_proposed_credit_limit,0.030289730112896207,-0.0046747128562509566,True
advanced_gate | CatBoost,risk_score_to_credit_limit,0.029246717864386245,0.010911179802144398,True
advanced_gate | CatBoost,bank_months_count_was_missing,0.022810593046542076,0.001199768596212787,True
advanced_gate | CatBoost,proposed_credit_limit,0.02106033962908067,-0.003367334725067409,True
advanced_gate | CatBoost,session_length_in_minutes,0.017127335290933635,-0.001379538340097235,True
advanced_gate | CatBoost,velocity_6h,0.015546238239760278,0.00799524604848122,True
advanced_gate | CatBoost,foreign_request,0.013355698751774841,-0.00037156118187882224,True
advanced_gate | CatBoost,velocity_6h_to_24h,0.008821861453170926,0.002293513633486439,True
advanced_gate | CatBoost,session_length_per_device_email,0.007937078542842835,-0.00012216063203137093,True
advanced_gate | CatBoost,phone_mobile_valid,0.007045956502621602,-0.0014854792346247825,True
advanced_gate | CatBoost,log1p_session_length_in_minutes,0.005565715690320042,-0.0013679153532365558,True
balance_gate | XGBoost | class_weight,phone_home_valid,0.3768870486364677,-0.02196564182076722,True
balance_gate | XGBoost | class_weight,device_os_windows,0.3132503219481243,0.0036737836887610234,True
balance_gate | XGBoost | class_weight,name_email_similarity,0.30695463041254806,-0.04604670810336799,True
balance_gate | XGBoost | class_weight,prev_address_months_count,0.30227715319202003,-0.06413173457088978,True
balance_gate | XGBoost | class_weight,has_other_cards,0.2811319275482604,-0.0555360906561225,True
balance_gate | XGBoost | class_weight,keep_alive_session,0.27128209606673404,-0.01629786211901558,True
balance_gate | XGBoost | class_weight,current_address_months_count,0.2641723667494093,-0.023870653275801623,True
balance_gate | XGBoost | class_weight,housing_status_BA,0.2447827841648843,0.06587555984144493,True
balance_gate | XGBoost | class_weight,email_is_free,0.23226664916523415,9.777517910854674e-05,True
balance_gate | XGBoost | class_weight,income,0.22195039043102124,0.0028495883836884388,True
balance_gate | XGBoost | class_weight,intended_balcon_amount,0.21270252633630032,0.0298604549557384,True
balance_gate | XGBoost | class_weight,bank_branch_count_8w,0.16598803005641075,-0.0008324403766922953,True
balance_gate | XGBoost | class_weight,credit_risk_score,0.10978270733231799,-0.0010841128893181067,True
balance_gate | XGBoost | class_weight,employment_status_CA,0.10411544769039902,0.005050923137169066,True
balance_gate | XGBoost | class_weight,housing_status_BE,0.10244934528416554,0.0070120898517617046,True
balance_gate | XGBoost | class_weight,date_of_birth_distinct_emails_4w,0.09781580671987435,0.009695405837087702,True
balance_gate | XGBoost | class_weight,velocity_4w,0.09676796424573672,0.0008443888001772587,True
balance_gate | XGBoost | class_weight,customer_age,0.09580407116170699,0.01571846199233938,True
balance_gate | XGBoost | class_weight,device_os_linux,0.06928078105199942,-0.0077095508702997645,True
balance_gate | XGBoost | class_weight,days_since_request,0.06861990728309417,-0.004508255507895175,True
balance_gate | XGBoost | class_weight,zip_count_4w,0.06384203516432006,0.00030775957250686327,True
balance_gate | XGBoost | class_weight,bank_months_count,0.05609121051020891,0.012799917816841633,True
balance_gate | XGBoost | class_weight,device_os_other,0.03775528776312712,0.003849918420552275,True
balance_gate | XGBoost | class_weight,payment_type_AC,0.03281039290784435,0.0026417033017826423,True
