model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
balance_gate | LightGBM | class_weight,balance_gate,LightGBM,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.8361452176052429,0.1675330801159354,0.8836967812688419,12.497736696538276,0.2021388396413337,0.8896031210262233,13.708495551390534,
baseline | LightGBM,baseline_search,LightGBM,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.8361452176052429,0.1675330801159354,0.8836967812688419,12.497736696538276,0.2021388396413337,0.8896031210262233,13.708495551390534,16.262763261795044
anomaly_recency_gate | LightGBM | full_0_5_recency_weighted | with_isolation_forest_anomaly_score,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,with_isolation_forest_anomaly_score,0.8296030808770752,0.1674279862214664,0.8871626930401811,12.48989683696799,0.2005139032445228,0.8870788246126938,13.59829687108496,
hyperparameter_tuned | LightGBM,hyperparameter-tuning-gate,LightGBM,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,0.9111625673693504,0.1662435822541403,0.8801193735859444,12.401541934666108,0.1928512839933402,0.875402799593872,13.078639282750034,12.199514389038086
anomaly_recency_gate | LightGBM | full_0_5 | without_anomaly_scores,anomaly_recency_gate,LightGBM,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.8307763525608923,0.165342903937904,0.8854995343835608,12.334352574589795,0.2077283973454733,0.8876539401590956,14.087563854431147,
advanced_gate | LightGBM,advanced_gate,LightGBM,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8307763525608923,0.165342903937904,0.8854995343835608,12.334352574589795,0.2077283973454733,0.8876539401590956,14.087563854431147,12.465087175369264
balance_gate | LightGBM | random_oversampling,balance_gate,LightGBM,baseline_eda_onehot,random_oversampling,train_sample,without_anomaly_scores,0.9679363333021952,0.1646695589423376,0.8873072506270151,12.28412196667226,0.198159518269345,0.8907384900194946,13.438629011035143,
balance_gate | LightGBM | smote,balance_gate,LightGBM,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.8424248266206245,0.1643766129259146,0.8885420712402846,12.262268597910571,0.1983263657676749,0.891382488644989,13.449944145685532,
balance_gate | XGBoost | smote,balance_gate,XGBoost,baseline_eda_onehot,smote,train_sample,without_anomaly_scores,0.8540791869163513,0.1635258452328522,0.8871653717079689,12.198802501480802,0.1966244221919924,0.8893829601221613,13.334523052058213,
anomaly_recency_gate | Logistic Regression | full_0_5_recency_weighted | without_anomaly_scores,anomaly_recency_gate,Logistic Regression,advanced_plus_optional_anomaly,model_default_weighting,full_0_5_recency_weighted,without_anomaly_scores,0.8187476838737613,0.1629368912836477,0.8847238581088024,12.15486734922042,0.1955454778010644,0.887712485822291,13.261352035496136,
