model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds
imbalance_ensemble_gate | Self-paced Ensemble | validation_selected,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,search_k_bins_10,train_sample_temporal_validation_selected,without_anomaly_scores,0.6558210290246687,0.1559508261613684,0.8616947275158313,11.633716527050273,0.1620572325350373,0.8662543736773649,10.990272108116677,8.69597601890564
imbalance_ensemble_gate | Self-paced Ensemble | default,imbalance_ensemble_gate,Self-paced Ensemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,0.6393060393297898,0.15415001306506076,0.8640104503586958,11.499378353945856,0.18416743663301066,0.8687082494266899,12.489724836029868,8.078839540481567
imbalance_ensemble_gate | EasyEnsemble | validation_selected,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,search_max_samples_0_5_max_features_0_5,train_sample_temporal_validation_selected,without_anomaly_scores,0.6997146023667044,0.12852257978147982,0.8637468293814636,9.587607179174558,0.14484617919065387,0.8687931578856979,9.823066198431718,6.812039613723755
imbalance_ensemble_gate | EasyEnsemble | default,imbalance_ensemble_gate,EasyEnsemble,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,0.7899912468083704,0.11668308310996305,0.8537636316402042,8.704397057819643,0.13352019678726806,0.8586042015192075,9.054969480020588,11.267109155654907
imbalance_ensemble_gate | Balance Cascade | validation_selected,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,search_replacement_false,train_sample_temporal_validation_selected,without_anomaly_scores,0.6469931123133273,0.021138888572217584,0.4595041911941947,1.5769319303997458,0.033721658251171543,0.47463658313506185,2.286909348752245,8.368449449539185
imbalance_ensemble_gate | Balance Cascade | default,imbalance_ensemble_gate,Balance Cascade,baseline_eda_onehot,default,train_sample_default,without_anomaly_scores,0.6579119809738087,0.016103227257384937,0.45617993862005635,1.201278542052975,0.018788139353833437,0.4532983475840685,1.2741595094140696,7.326128005981445
