model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,selected_threshold,validation_pr_auc,validation_roc_auc,validation_pr_auc_lift,test_pr_auc,test_roc_auc,test_pr_auc_lift,runtime_seconds,main_precision,main_fdr,main_recall_tpr,main_fpr,main_alert_rate,business_policy,business_fdr30_feasible,business_precision,business_fdr,business_recall_tpr,lift_at_k_top1pct,lift_at_k_top5pct,precision_at_k_top1pct,precision_at_k_top5pct,recall_at_k_top1pct,recall_at_k_top5pct,worst_max_fpr_gap,worst_max_tpr_gap,worst_equalized_odds_difference,best_brier_score,interpretability,feature_complexity,deployment_readiness,decision_score,best_by_pr_auc,best_by_recall_at_fpr5,best_under_fdr30,best_by_topk_alert_prioritization,best_by_fairness_adjusted_interpretation,recommended_final_model
hyperparameter_tuned | XGBoost,hyperparameter-tuning-gate,XGBoost,baseline_eda_onehot,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,0.8851956725120544,0.1821581073934377,0.8932808251977012,13.588743558988533,0.2158883374343947,0.8951811422048251,14.640948362856504,15.929364204406738,0.15625,0.84375,0.5532212885154062,0.0447099512655242,0.0522082132936815,valid_business_fdr30,True,0.8888888888888888,0.1111111111111111,0.0056022408963585,21.62592684132477,10.908449256225309,0.3188854489164087,0.1608507123683667,0.2163865546218487,0.5455182072829131,0.1771044139364437,1.0,1.0,,medium,3.0,pilot_candidate,31.5,True,True,False,False,False,False
advanced_gate | CatBoost,advanced_gate,CatBoost,catboost_native_missing_log_ratio_interactions,model_default_weighting,full_0_5,without_anomaly_scores,0.7883990677182775,0.1821338134212881,0.8908670159382348,13.586931262175098,0.2184221131434463,0.8958681308293375,14.812782005007543,79.97004723548889,0.1637554585152838,0.8362445414847162,0.5252100840336135,0.040140439134308,0.0472930413142922,valid_business_fdr30,True,0.9166666666666666,0.0833333333333333,0.0077030812324929,22.11583456912177,10.768417815195455,0.326109391124871,0.1587858765228164,0.2212885154061624,0.538515406162465,0.1631023355029262,1.0,1.0,,medium,3.0,pilot_candidate,21.5,False,False,False,True,False,False
balance_gate | XGBoost | class_weight,balance_gate,XGBoost,baseline_eda_onehot,class_weight,train_sample,without_anomaly_scores,0.7965519428253174,0.1811417319058832,0.8912883648881907,13.512923349514187,0.205964607764584,0.8943105827983343,13.967948536236426,,0.1611122903842071,0.8388877096157928,0.5315126050420168,0.0414190640884556,0.0486457462077796,valid_business_fdr30,True,0.8888888888888888,0.1111111111111111,0.0056022408963585,20.856071840500903,10.768417815195455,0.3075335397316821,0.1587858765228164,0.2086834733893557,0.538515406162465,0.1779795438385385,1.0,1.0,,medium,2.0,pilot_candidate,43.5,False,False,False,False,False,False
baseline | XGBoost,baseline_search,XGBoost,baseline_eda_onehot,model_default_weighting,full_0_5,without_anomaly_scores,0.7965519428253174,0.1811417319058832,0.8912883648881907,13.512923349514187,0.205964607764584,0.8943105827983343,13.967948536236426,12.135714530944824,0.1611122903842071,0.8388877096157928,0.5315126050420168,0.0414190640884556,0.0486457462077796,valid_business_fdr30,True,0.8888888888888888,0.1111111111111111,0.0056022408963585,20.856071840500903,10.768417815195455,0.3075335397316821,0.1587858765228164,0.2086834733893557,0.538515406162465,0.1779795438385385,1.0,1.0,,medium,3.0,pilot_candidate,47.5,False,False,False,False,False,False
baseline | CatBoost,baseline_search,CatBoost,catboost_native_raw_no_generated_features,model_default_weighting,full_0_5,without_anomaly_scores,0.7874011234264661,0.1802422480866976,0.8914777069569751,13.445823097270278,0.2177091013185874,0.8966794546776421,14.7644275203053,90.13799524307252,0.1625133120340788,0.8374866879659212,0.5343137254901961,0.0412094534402347,0.0484805303429261,valid_business_fdr30,True,1.0,0.0,0.0042016806722689,21.69591365958148,10.83843353571038,0.3199174406604747,0.1598182944455915,0.2170868347338935,0.542016806722689,0.167751463107805,1.0,1.0,,medium,3.0,pilot_candidate,25.5,False,False,False,False,False,False
anomaly_recency_gate | XGBoost | full_0_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,with_isolation_forest_anomaly_score,0.8041242361068726,0.1777837877601653,0.8905983607457875,13.262425347890735,0.2126527605305548,0.8947077898391972,14.4215205098463,,0.1588139723801787,0.8411860276198213,0.5476190476190477,0.0434103652465545,0.0508451824086407,valid_business_fdr30,True,1.0,0.0,0.003501400560224,21.765900477838198,10.922452400328291,0.3209494324045407,0.1610571959529217,0.2177871148459383,0.5462184873949579,0.1830662363944648,0.71412680756396,0.71412680756396,,medium,4.0,pilot_candidate,44.5,False,False,False,False,False,False
anomaly_recency_gate | XGBoost | full_0_5 | without_anomaly_scores,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,full_0_5,without_anomaly_scores,0.8010172247886658,0.1771672128672742,0.8904671254114129,13.216429711329182,0.2121165570311613,0.8947012248278237,14.385156675468318,,0.1612214392483451,0.8387785607516549,0.5287114845938375,0.0411675313105905,0.0483566184442861,valid_business_fdr30,True,0.85,0.15,0.0119047619047619,20.92605865875762,10.768417815195455,0.3085655314757481,0.1587858765228164,0.2093837535014005,0.538515406162465,0.1733304162336597,0.6896551724137931,0.6896551724137931,,medium,4.0,pilot_candidate,47.5,False,False,False,False,True,False
advanced_gate | XGBoost,advanced_gate,XGBoost,ratios_interactions_target_frequency,model_default_weighting,full_0_5,without_anomaly_scores,0.8010172247886658,0.1771672128672742,0.8904671254114129,13.216429711329182,0.2121165570311613,0.8947012248278237,14.385156675468318,9.807311058044434,0.1612214392483451,0.8387785607516549,0.5287114845938375,0.0411675313105905,0.0483566184442861,valid_business_fdr30,True,0.85,0.15,0.0119047619047619,20.92605865875762,10.768417815195455,0.3085655314757481,0.1587858765228164,0.2093837535014005,0.538515406162465,0.1733304162336597,0.6896551724137931,0.6896551724137931,,medium,3.0,pilot_candidate,42.5,False,False,False,False,False,False
hyperparameter_tuned | CatBoost,hyperparameter-tuning-gate,CatBoost,catboost_native_advanced_features,validation_selected_class_weight_or_scale_pos_weight,full_0_5_after_inner_temporal_tuning,without_anomaly_scores,0.7830256588352915,0.1768102684908024,0.884682130345461,13.189802153181455,0.2085167977397625,0.8906960027631028,14.141030982851415,66.83366847038269,0.15970409051349,0.84029590948651,0.5140056022408963,0.0404758161714615,0.0474582571791456,valid_business_fdr30,True,1.0,0.0,0.0070028011204481,21.345979568297903,10.516361221341729,0.3147574819401444,0.1550691720008259,0.2135854341736694,0.5259103641456583,0.1427555652792211,,,,medium,3.0,deploy_candidate,47.5,False,False,False,False,False,True
anomaly_recency_gate | XGBoost | recent_3_5 | with_isolation_forest_anomaly_score,anomaly_recency_gate,XGBoost,advanced_plus_optional_anomaly,model_default_weighting,recent_3_5,with_isolation_forest_anomaly_score,0.8065626621246338,0.1767159486674875,0.8882694319737937,13.18276602445848,0.2103897432182166,0.8923553910376182,14.268048951317752,,0.1487666034155597,0.8512333965844402,0.5490196078431373,0.0470156683959545,0.054417975486096,valid_business_fdr30,True,0.84,0.16,0.0147058823529411,21.20600593178448,10.600380085959635,0.3126934984520124,0.1563080735081561,0.2121848739495798,0.5301120448179272,,,,,medium,4.0,deploy_candidate,58.5,False,False,True,False,False,False
