model,stage,model_family,feature_set,balance_policy,train_strategy,anomaly_policy,split,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
baseline_catboost | CatBoost native,baseline_catboost,CatBoost,advanced_native_categoricals,scale_pos_weight,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.07216494845360824,0.3783783783783784,0.0730816077953715,0.11516233913314824,0.8148818733471597,2283,180,23,14
baseline_catboost | CatBoost native,baseline_catboost,CatBoost,advanced_native_categoricals,scale_pos_weight,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.5757120775990673,0.12,0.24324324324324326,0.02679658952496955,0.11516233913314824,0.8148818733471597,2397,66,28,9
balance_gate | Logistic Regression | no_balance,balance_gate,Logistic Regression,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.0,0.0,0.0,0.06540336584867841,0.7913744573255093,2466,0,34,0
balance_gate | Logistic Regression | no_balance,balance_gate,Logistic Regression,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.025418424617928388,0.09401709401709402,0.3235294117647059,0.042984590429845905,0.06540336584867841,0.7913744573255093,2360,106,23,11
balance_gate | Logistic Regression | no_balance,balance_gate,Logistic Regression,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.0,0.0,0.0,0.11190232782207048,0.8077053911402268,2463,0,37,0
balance_gate | Logistic Regression | no_balance,balance_gate,Logistic Regression,baseline_eda_onehot_dense,no_balance,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.025418424617928388,0.11666666666666667,0.1891891891891892,0.02151847340641494,0.11190232782207048,0.8077053911402268,2410,53,30,7
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.04918032786885246,0.5294117647058824,0.1411192214111922,0.08266505213509169,0.7658985735413386,2118,348,16,18
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.7397751269261933,0.1044776119402985,0.4117647058823529,0.04866180048661801,0.08266505213509169,0.7658985735413386,2346,120,20,14
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,test,default_0_50,0.5,0.08225108225108226,0.5135135135135135,0.08607389362565976,0.1210221767781713,0.8330535163665492,2251,212,18,19
balance_gate | Logistic Regression | class_weight,balance_gate,Logistic Regression,baseline_eda_onehot_dense,class_weight,full_0_5_sample,without_anomaly_scores,test,valid_global_5pct_fpr,0.7397751269261933,0.13043478260869565,0.24324324324324326,0.024360535931790498,0.1210221767781713,0.8330535163665492,2403,60,28,9
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,validation,default_0_50,0.5,0.06666666666666667,0.029411764705882353,0.0056772100567721,0.048838135918910994,0.765719669863079,2452,14,33,1
balance_gate | Logistic Regression | random_undersampling,balance_gate,Logistic Regression,baseline_eda_onehot_dense,random_undersampling,full_0_5_sample,without_anomaly_scores,validation,valid_global_5pct_fpr,0.35801272219629,0.0625,0.20588235294117646,0.04257907542579075,0.048838135918910994,0.765719669863079,2361,105,27,7
