source_model,model_family,feature_policy,threshold_policy,threshold,precision,recall_tpr,fpr,pr_auc,roc_auc,tn,fp,fn,tp
balance_gate | Logistic Regression | random_oversampling,Logistic Regression,with_housing_status,valid_global_5pct_fpr,0.24684435936673232,0.1702127659574468,0.21621621621621623,0.015834348355663823,0.12856754678597634,0.8333936860124437,2424,39,29,8
balance_gate | Logistic Regression | random_oversampling,Logistic Regression,without_housing_status,valid_global_5pct_fpr,0.2151733001500877,0.11864406779661017,0.1891891891891892,0.021112464474218433,0.1069632358894581,0.8245602484335737,2411,52,30,7
