model,split,score_type,brier_score,ece_10_bins,mean_score,observed_fraud_rate,pr_auc,roc_auc
CatBoost | recent_3_5 | with_anomaly_scores,validation_month_6,raw,0.11776240577275046,0.24019097581819732,0.2535960494074289,0.013405073589231566,0.17208303732570981,0.8852947794735853
CatBoost | recent_3_5 | with_anomaly_scores,validation_month_6,platt_calibrated_on_validation,0.012009888514986057,0.0007525748194034199,0.013391639130090838,0.013405073589231566,0.17208303732570981,0.8852947794735853
CatBoost | recent_3_5 | with_anomaly_scores,test_month_7,raw,0.0972252152200688,0.20595109357162633,0.22069660950979428,0.014745515938167962,0.19366193696109596,0.8850470251507823
CatBoost | recent_3_5 | with_anomaly_scores,test_month_7,platt_calibrated_on_validation,0.013092701459864638,0.003720086567023299,0.011025429371144663,0.014745515938167962,0.19366193696109596,0.8850470251507823
