model_family,train_strategy,fpr__with_anomaly_scores,fpr__without_anomaly_scores,pr_auc__with_anomaly_scores,pr_auc__without_anomaly_scores,recall_tpr__with_anomaly_scores,recall_tpr__without_anomaly_scores,roc_auc__with_anomaly_scores,roc_auc__without_anomaly_scores,pr_auc_delta_anomaly_minus_no_anomaly,roc_auc_delta_anomaly_minus_no_anomaly,recall_tpr_delta_anomaly_minus_no_anomaly,fpr_delta_anomaly_minus_no_anomaly
CatBoost,full_0_5,0.0405491798983388,0.0371220457999266,0.2021926269505416,0.2026981712109166,0.5084033613445378,0.492296918767507,0.8895349608690093,0.8864891552177125,-0.000505544260374996,0.0030458056512967513,0.01610644257703081,0.0034271340984122003
CatBoost,full_0_5_recency_weighted,0.0399622700833202,0.037667033485301,0.2068031640415318,0.2041397332088674,0.5021008403361344,0.4789915966386555,0.8893898187058713,0.8863595797277146,0.0026634308326643763,0.003030238978156685,0.023109243697478965,0.0022952365980191958
CatBoost,recent_3_5,0.0371954095268039,0.0389456584394487,0.1936619369610959,0.2035856167320414,0.4817927170868347,0.4880952380952381,0.8850470251507823,0.88844383322684,-0.009923679770945493,-0.003396808076057689,-0.0063025210084033945,-0.0017502489126448029
LightGBM,full_0_5,0.0416181942042655,0.0396792957082219,0.1886453647145637,0.1957764012856991,0.4831932773109244,0.4908963585434173,0.8803713425840912,0.8860285328825237,-0.007131036571135396,-0.0056571902984324796,-0.007703081232492914,0.0019388984960435965
LightGBM,full_0_5_recency_weighted,0.0411046481161243,0.0391552690876696,0.1916987613114504,0.1943938794946491,0.4803921568627451,0.4740896358543417,0.880721398238067,0.8838319512681664,-0.0026951181831987026,-0.003110553030099328,0.0063025210084033945,0.001949379028454698
LightGBM,recent_3_5,0.049384268720851,0.042184142954462,0.1868267298614601,0.1918231598151745,0.5126050420168067,0.5070028011204482,0.882452212662039,0.884538205577258,-0.00499642995371441,-0.002085992915219048,0.0056022408963585235,0.007200125766388996
XGBoost,full_0_5,0.0408740764030812,0.0406644657548603,0.1993574478830708,0.1974359337416326,0.5014005602240896,0.5035014005602241,0.8902000600061857,0.888847722708011,0.0019215141414382075,0.0013523372981746329,-0.0021008403361344463,0.00020961064822089953
XGBoost,full_0_5_recency_weighted,0.0417754021904312,0.040381491379762,0.1917066965076915,0.1957773119252392,0.5042016806722689,0.5007002801120448,0.8862317216358848,0.8868481721672581,-0.0040706154175476905,-0.0006164505313732693,0.003501400560224077,0.0013939108106692036
XGBoost,recent_3_5,0.0486401509196667,0.0396164125137557,0.2007019072716169,0.2001681132423381,0.5343137254901961,0.492296918767507,0.890583924184357,0.8902466756235586,0.0005337940292788057,0.0003372485607983089,0.04201680672268909,0.009023738405910996
